"PLOT_ID","X_albers","Y_albers","X_UTM","Y_UTM","Site","Forest","dbhThreshcm","PlotSizeAcres","PlotSize","RandomUniform","fpc","Elev_Class","CC_Class","Stratum","DOM_TYPE","Dom_Type_Label","Secondary_Label","LifeForm","ForestType","TCUFT","STBIOMS","Elev_ave","Elev_mode","Elev_stddev","Elev_variance","Elev_CV","Elev_IQ","Elev_skewness","Elev_kurtosis","Elev_AAD","Elev_MAD_median","Elev_MAD_mode","Elev_L2","Elev_L3","Elev_L4","Elev_LCV","Elev_Lskewness","Elev_Lkurtosis","Elev_P01","Elev_P05","Elev_P10","Elev_P20","Elev_P25","Elev_P30","Elev_P40","Elev_P50","Elev_P60","Elev_P70","Elev_P75","Elev_P80","Elev_P90","Elev_P95","Elev_P99","Pct_first_returns_above_ht","Pct_all_returns_above_ht","all_returns_above_ht_div_Total_first_returns_x_100","First_returns_above_ht","All_returns_above_ht","Pct_first_returns_above_mean","Pct_first_returns_above_mode","pct_all_returns_above_mean","pct_all_returns_above_mode","All_returns_above_mean_div_Total_first_returns_x_100","All_returns_above_mode_div_Total_first_returns_x_100","First_returns_above_mean","First_returns_above_mode","All_returns_above_mean","All_returns_above_mode","Total_first_returns","Total_all_returns"
"0301010020460012_0001",-1214396.39524,-343092.823906,663865.302994162,3727865.61999977,"fourFri, P2","Apache",12.75,0.1,"1/5th Acre",0.997186819557101,88551,95,33.286589,9999,"2TD","Deciduous tree mix","none","Deciduous ","update",0,4.495817661,9.549714,2.01,5.233102,27.385357,0.547985,9.38,0.167074,1.736983,4.590525,4.63,7.19,3.012692,0.156516,-0.0649,0.315475,0.051952,-0.021542,2.04,2.2,2.542,4.084,4.83,5.532,7.2,9.2,11.233999,13.254,14.21,15.168,16.886,17.886,19.196401,11.47674,11.827957,13.388027,1273,1485,6.725568,13.460151,6.531262,13.612107,7.392715,15.407501,746,1493,820,1709,11092,12555
"0301010020660008_0001",-1229710.88132,-350950.358468,649862.294301705,3717792.44892741,"fourFri, P2","Apache",12.75,0.2,"1/5th Acre",0.705458275042474,53706,90,20.552406,9999,"2TD","Deciduous tree mix","none","Deciduous ","update",0,64.57025909,22.825494,28.513016,9.614691,92.442291,0.421226,14.129999,-0.39694,2.281831,7.993369,7.030001,6.866985,5.480571,-0.534772,0.345974,0.240107,-0.097576,0.063127,2.1676,4.63,8.217999,14.29,16.5,18.049999,21.053999,23.84,26.817999,29.16,30.629999,31.778,34.639999,36.671997,38.59,19.146551,22.93698,28.831926,2562,3858,10.627008,7.600329,12.580262,7.901308,15.813467,9.931993,1422,1017,2116,1329,13381,16820
"0301010020660039_0001",-1230129.41766,-349582.471486,649231.490196852,3719068.05717923,"fourFri, P2","Apache",12.75,0.1,"1/5th Acre",0.686614322243258,53706,106,19.82348,9999,"2TD","Deciduous tree mix","none","Deciduous ","update",45.49999619,1.060593605,3.365712,2.308413,1.27889,1.63556,0.379976,1.4,2.083171,9.577975,0.937433,0.6,0.671587,0.637856,0.204039,0.107664,0.189516,0.319883,0.168791,2.03,2.11,2.21,2.39,2.48,2.57,2.76,2.98,3.25,3.63,3.88,4.17,5.08,5.68,8.6584,26.546046,25.136394,26.701534,3756,3778,19.888331,45.911372,18.789088,43.632735,19.959008,46.349565,2814,6496,2824,6558,14149,15030
"0301060061320008_0001",-1227222.72593,-313820.660531,646514.569903588,3754585.5376631,"fourFri, P2","Apache",12.75,0.1,"1/5th Acre",0.0260138479061425,53706,90,23.989374,9999,"ABCO_POTR5","white fir","aspen","Deciduous_Mix","update",841,33.69029999,13.85754,18.467777,5.187982,26.915159,0.37438,8.000001,-0.423319,2.252124,4.33077,3.799999,3.937778,2.953501,-0.322739,0.172099,0.213133,-0.109273,0.058269,2.49,4.22,5.963,8.82,10.11,11.3,13.17,14.76,15.98,17.361,18.110001,18.719999,20.056999,21.049999,22.57,66.108751,52.03079,97.629567,7781,11491,46.525064,21.401869,29.182703,11.799864,54.757859,22.141037,5476,2519,6445,2606,11770,22085
"0301060060450003_0001",-1235613.15141,-294091.735474,0,0,"fourFri, P2","Apache",12.75,0.1,"1/10th Acre",0.761650561820716,105021,101,67.146499,9999,"ABLA_PSME",NA,NA,NA,"update",4559.999512,76.58786011,15.145342,3.050635,8.127742,66.060195,0.53665,13.950001,0.10334,1.852507,7.043553,6.93,11.859365,4.685003,0.128468,0.009966,0.309336,0.027421,0.002127,2.29,3.1,3.988,6.746,8.23,9.29,11.952,14.91,18.09,20.559999,22.18,23.33,26.139999,27.916,30.690001,86.100108,74.455246,119.967591,4782,6663,51.836514,85.830032,38.194212,74.142362,61.541232,119.46345,2879,4767,3418,6635,5554,8949
"0301010010440004_0001",-1195758.35803,-324522.624513,679503.477474607,3748964.0741634,"fourFri, P2","Apache",12.75,0.1,"1/5th Acre",0.98798813088797,105021,95,55.521028,9999,"JUDE2_PIED",NA,NA,NA,"update",383.5,9.789798737,4.953549,4.268889,1.84692,3.411114,0.372848,2.2025,1.03382,4.091419,1.423197,1.07,1.051111,1.002308,0.185532,0.154362,0.202341,0.185105,0.154006,2.11,2.45,2.87,3.46,3.6475,3.84,4.22,4.61,5.05,5.56,5.85,6.24,7.4,8.83,10.5346,23.578669,20.629764,24.254444,3210,3302,11.11356,15.75584,9.702612,13.776084,11.407375,16.196562,1513,2145,1553,2205,13614,16006
"0301010020460001_0001",-1213186.77796,-342640.834084,664999.672793402,3728500.44615517,"fourFri, P2","Apache",12.75,0.1,"1/5th Acre",0.215973814483732,105021,90,64.699913,9999,"NVG",NA,NA,NA,"update",0,8.232757568,16.583796,20.069524,6.606444,43.645106,0.398367,10.175,-0.054468,2.070147,5.684577,5.115,5.635,3.798336,-0.050667,0.149272,0.229039,-0.013339,0.039299,3.1303,6.2345,7.733,10.242,11.485,12.208,14.18,16.870001,19.368,20.99,21.66,22.618,25.385,27.118502,29.1688,10.562233,11.588483,13.159503,1037,1292,5.642697,4.196374,5.991569,4.269441,6.80383,4.848238,554,412,668,476,9818,11149
"0311010020070016_0001",-1222919.71635,-334739.802143,0,0,"fourFri, P2","Apache",12.75,0.1,"1/5th Acre",0.423350635450333,88551,107,27.457769,9999,"NVG",NA,NA,NA,"update",263.5,5.777275085,7.978004,9.202698,2.537417,6.438487,0.318052,3.8925,-0.262983,2.232993,2.101848,1.83,1.762698,1.448481,-0.104775,0.096623,0.181559,-0.072334,0.066706,2.6961,3.61,4.16,5.384,5.9775,6.712,7.628,8.32,8.93,9.539,9.87,10.24,11.13,11.74,12.8013,23.103803,20.813727,24.850976,3372,3627,14.134978,9.11271,11.838632,7.632274,14.134978,9.11271,2063,1330,2063,1330,14595,17426
"0301010011440021_0001",-1231299.41205,-332808.216597,645439.448094386,3735335.18839053,"fourFri, P2","Apache",12.75,0.2,"1/5th Acre",0.167116023600101,105021,90,55.664145,9999,"NVG",NA,NA,NA,"update",0,20.06839371,19.639245,26.308571,7.810425,61.002741,0.397695,11.8475,-0.53217,2.211875,6.563704,5.450001,5.18857,4.42277,-0.635588,0.195049,0.225201,-0.143708,0.044101,3.3774,4.6655,7.094,12.068001,14.202499,15.87,18.882,21.15,23.274,25.360001,26.049999,26.746,28.882999,29.93,31.1263,29.217958,29.931608,40.405503,1614,2232,19.225199,9.341057,17.124849,7.040365,23.117306,9.503983,1062,516,1277,525,5524,7457
"0301010020570028_0001",-1231091.24766,-348772.749425,648149.39729507,3719712.86063884,"fourFri, P2","Apache",12.75,0.1,"1/5th Acre",0.846661809831858,88551,95,34.921541,9999,"NVG",NA,NA,NA,"update",0,10.26760769,11.255827,12.651269,4.350097,18.923344,0.386475,6.7625,-0.062742,2.16405,3.66672,3.35,3.37127,2.498792,-0.053941,0.131358,0.222,-0.021587,0.052569,2.5283,4.0115,5.17,6.986,7.8275,8.648999,10.04,11.42,12.868,13.971001,14.59,15.26,16.92,17.940001,19.959999,24.684473,23.19162,29.6742,2523,3033,14.665884,12.396047,12.043126,9.940358,15.409451,12.718912,1499,1267,1575,1300,10221,13078
