PLOT_ID,X_UTM,Y_UTM,Site,Forest,R3ERU,R3ERUCODE,R3ERUSUBCL,R3ERUSUBCO,PROV_SUBCL,SYSTEMTYPE,SOURCE,TEUI_MUS,UID_,SHAPE_AREA,SHAPE_LEN
0301010020780003_0001,654519.8242,3716238.684,"fourFri, P2",Apache,Mixed Conifer w/ Aspen,MCW,missing data,missing d*,n/a,forest,APS_TEUI,574,660611,3061714.266,24615.36514
0301010020780004_0001,655098.8627,3716379.859,"fourFri, P2",Apache,Mixed Conifer w/ Aspen,MCW,missing data,missing d*,n/a,forest,APS_TEUI,574,660611,3061714.266,24615.36514
0301010020780034_0001,655232.6697,3716285.848,"fourFri, P2",Apache,Mixed Conifer w/ Aspen,MCW,missing data,missing d*,n/a,forest,APS_TEUI,574,660611,3061714.266,24615.36514
0301010020780002_0001,653725.0979,3716573.616,"fourFri, P2",Apache,Mixed Conifer w/ Aspen,MCW,missing data,missing d*,n/a,forest,APS_TEUI,574,660611,3061714.266,24615.36514
0301010020660008_0001,649862.2943,3717792.449,"fourFri, P2",Apache,Spruce-Fir Forest,SFF,Spruce-Fir - Lower,SFM,missing data,forest,APS_TEUI,576,847441,15938081.16,78858.11951
0301010020660039_0001,649231.4902,3719068.057,"fourFri, P2",Apache,Spruce-Fir Forest,SFF,Spruce-Fir - Lower,SFM,missing data,forest,APS_TEUI,576,847441,15938081.16,78858.11951
0301010020570028_0001,648149.3973,3719712.861,"fourFri, P2",Apache,Spruce-Fir Forest,SFF,Spruce-Fir - Lower,SFM,missing data,forest,APS_TEUI,576,847441,15938081.16,78858.11951
0301010020660015_0001,649216.1697,3718313.027,"fourFri, P2",Apache,Spruce-Fir Forest,SFF,Spruce-Fir - Lower,SFM,missing data,forest,APS_TEUI,576,847441,15938081.16,78858.11951
0301010020680006_0001,651208.8076,3718165.711,"fourFri, P2",Apache,Spruce-Fir Forest,SFF,Spruce-Fir - Lower,SFM,missing data,forest,APS_TEUI,583,847481,23907407.65,188289.5306
0301010020660030_0001,650393.5433,3717975.41,"fourFri, P2",Apache,Spruce-Fir Forest,SFF,Spruce-Fir - Lower,SFM,missing data,forest,APS_TEUI,583,847481,23907407.65,188289.5306
0301010020660049_0001,649787.2862,3718401.131,"fourFri, P2",Apache,Spruce-Fir Forest,SFF,Spruce-Fir - Lower,SFM,missing data,forest,APS_TEUI,583,847481,23907407.65,188289.5306
0301010020810049_0001,653058.9166,3716021.004,"fourFri, P2",Apache,Spruce-Fir Forest,SFF,Spruce-Fir - Lower,SFM,missing data,forest,APS_TEUI,583,847481,23907407.65,188289.5306
0301010020900003_0001,655487.21,3715691.92,"fourFri, P2",Apache,Spruce-Fir Forest,SFF,Spruce-Fir - Lower,SFM,missing data,forest,APS_TEUI,585,847590,5930470.597,28742.30503
0301010020660004_0001,651344.1208,3717573.476,"fourFri, P2",Apache,Spruce-Fir Forest,SFF,Spruce-Fir - Lower,SFM,missing data,forest,APS_TEUI,690,847643,518756.556,4478.523891
0301010020680033_0001,651235.0811,3718725.969,"fourFri, P2",Apache,Spruce-Fir Forest,SFF,Spruce-Fir - Lower,SFM,missing data,forest,APS_TEUI,690,847648,1225484.366,6249.424422
031102Lidar10043_0043,497036.185,3805015.773,"fourFri, P1",Sitgreaves,Mixed Conifer - Frequent Fire,MCD,n/a,n/a,n/a,forest,APS_TEUI,201,660363,6432811.921,54705.67044
031102Lidar10072_0072,497456.1143,3803581.143,"fourFri, P1",Sitgreaves,Mixed Conifer - Frequent Fire,MCD,n/a,n/a,n/a,forest,APS_TEUI,201,660363,6432811.921,54705.67044
031102Lidar10031_0031,493472.5656,3809524.458,"fourFri, P1",Sitgreaves,Mixed Conifer - Frequent Fire,MCD,n/a,n/a,n/a,forest,APS_TEUI,201,660366,8007597.042,87767.09564
031102Lidar10036_0036,494445.8461,3807762.673,"fourFri, P1",Sitgreaves,Mixed Conifer - Frequent Fire,MCD,n/a,n/a,n/a,forest,APS_TEUI,201,660366,8007597.042,87767.09564
031102Lidar10046_0046,493110.8546,3809554.094,"fourFri, P1",Sitgreaves,Mixed Conifer - Frequent Fire,MCD,n/a,n/a,n/a,forest,APS_TEUI,201,660366,8007597.042,87767.09564
031102Lidar10027_0027,494710.5812,3819639.099,"fourFri, P1",Sitgreaves,Ponderosa Pine Forest,PPF,Ponderosa Pine / Gambel Oak,PPO,n/a,forest,APS_TEUI,196,729364,18000982.94,80150.40866
031102Lidar10038_0038,493134.5166,3815053.465,"fourFri, P1",Sitgreaves,Ponderosa Pine Forest,PPF,Ponderosa Pine / Gambel Oak,PPO,n/a,forest,APS_TEUI,196,729364,18000982.94,80150.40866
031102Lidar10037_0037,498813.2742,3819436.934,"fourFri, P1",Sitgreaves,Ponderosa Pine Forest,PPF,Ponderosa Pine / Gambel Oak,PPO,n/a,forest,APS_TEUI,196,729365,23103403.89,137917.3513
031102Lidar10095_0095,499032.7486,3802567.262,"fourFri, P1",Sitgreaves,Ponderosa Pine Forest,PPF,Ponderosa Pine / Gambel Oak,PPO,n/a,forest,APS_TEUI,197,729378,177340.6446,3054.093545
031102Lidar10009_0009,498273.4303,3802544.87,"fourFri, P1",Sitgreaves,Ponderosa Pine Forest,PPF,Ponderosa Pine / Gambel Oak,PPO,n/a,forest,APS_TEUI,197,729380,307258.611,4152.497197
031102Lidar10044_0044,497214.7548,3812699.652,"fourFri, P1",Sitgreaves,Ponderosa Pine Forest,PPF,Ponderosa Pine / Gambel Oak,PPO,n/a,forest,APS_TEUI,199,729429,577280.4415,11451.9043
0304070006680010_0003,456200.7867,3815700.591,"fourFri, P1",Coconino,Mixed Conifer w/ Aspen,MCW,missing data,missing d*,n/a,forest,COC_TEUI,555,190210,8178924.189,60862.64079
0304070006680010_0004,456065.8619,3815918.159,"fourFri, P1",Coconino,Mixed Conifer w/ Aspen,MCW,missing data,missing d*,n/a,forest,COC_TEUI,555,190210,8178924.189,60862.64079
0304070006680001_0002,456879.5656,3815401.229,"fourFri, P1",Coconino,Ponderosa Pine ?혀 Evergreen Oak,PPE,n/a,n/a,n/a,forest,COC_TEUI,530,261011,816988.9311,6753.265574
0304070006680010_0001,456459.9927,3815396.075,"fourFri, P1",Coconino,Ponderosa Pine ?혀 Evergreen Oak,PPE,n/a,n/a,n/a,forest,COC_TEUI,530,261011,816988.9311,6753.265574
0304070006680010_0002,456294.3001,3815505.1,"fourFri, P1",Coconino,Ponderosa Pine ?혀 Evergreen Oak,PPE,n/a,n/a,n/a,forest,COC_TEUI,530,261011,816988.9311,6753.265574
0304070006680030_0001,456581.5,3815335.298,"fourFri, P1",Coconino,Ponderosa Pine ?혀 Evergreen Oak,PPE,n/a,n/a,n/a,forest,COC_TEUI,530,261011,816988.9311,6753.265574
0304070006680030_0002,456764.654,3815319.146,"fourFri, P1",Coconino,Ponderosa Pine ?혀 Evergreen Oak,PPE,n/a,n/a,n/a,forest,COC_TEUI,530,261011,816988.9311,6753.265574
0304070006680030_0003,456638.2241,3815415.998,"fourFri, P1",Coconino,Ponderosa Pine ?혀 Evergreen Oak,PPE,n/a,n/a,n/a,forest,COC_TEUI,530,261011,816988.9311,6753.265574
0304070006850012_0002,456782.6127,3808475.167,"fourFri, P1",Coconino,Ponderosa Pine ?혀 Evergreen Oak,PPE,n/a,n/a,n/a,forest,COC_TEUI,572,261044,2004399.914,10897.90856
0304070006850012_0003,456520.4668,3808758.221,"fourFri, P1",Coconino,Ponderosa Pine ?혀 Evergreen Oak,PPE,n/a,n/a,n/a,forest,COC_TEUI,572,261044,2004399.914,10897.90856
0304070006850012_0004,456661.2963,3808678.991,"fourFri, P1",Coconino,Ponderosa Pine ?혀 Evergreen Oak,PPE,n/a,n/a,n/a,forest,COC_TEUI,572,261044,2004399.914,10897.90856
0304070006850012_0005,456540.7106,3808936.027,"fourFri, P1",Coconino,Ponderosa Pine ?혀 Evergreen Oak,PPE,n/a,n/a,n/a,forest,COC_TEUI,572,261044,2004399.914,10897.90856
0304070006850017_0001,456967.7009,3808287.639,"fourFri, P1",Coconino,Ponderosa Pine ?혀 Evergreen Oak,PPE,n/a,n/a,n/a,forest,COC_TEUI,572,261044,2004399.914,10897.90856
0304070006850017_0002,457167.9721,3808284.057,"fourFri, P1",Coconino,Ponderosa Pine ?혀 Evergreen Oak,PPE,n/a,n/a,n/a,forest,COC_TEUI,572,261044,2004399.914,10897.90856
0304070006850017_0003,457000.9618,3808476.421,"fourFri, P1",Coconino,Ponderosa Pine ?혀 Evergreen Oak,PPE,n/a,n/a,n/a,forest,COC_TEUI,572,261044,2004399.914,10897.90856
0304070006850017_0004,457200.5919,3808477.01,"fourFri, P1",Coconino,Ponderosa Pine ?혀 Evergreen Oak,PPE,n/a,n/a,n/a,forest,COC_TEUI,572,261044,2004399.914,10897.90856
0304070006850017_0005,456957.6776,3808678.816,"fourFri, P1",Coconino,Ponderosa Pine ?혀 Evergreen Oak,PPE,n/a,n/a,n/a,forest,COC_TEUI,572,261044,2004399.914,10897.90856
0304070006850017_0006,457140.2408,3808678.936,"fourFri, P1",Coconino,Ponderosa Pine ?혀 Evergreen Oak,PPE,n/a,n/a,n/a,forest,COC_TEUI,572,261044,2004399.914,10897.90856
0304070006850017_0007,457351.8673,3808659.565,"fourFri, P1",Coconino,Ponderosa Pine ?혀 Evergreen Oak,PPE,n/a,n/a,n/a,forest,COC_TEUI,572,261044,2004399.914,10897.90856
0304070006850017_0008,457200.0683,3808876.381,"fourFri, P1",Coconino,Ponderosa Pine ?혀 Evergreen Oak,PPE,n/a,n/a,n/a,forest,COC_TEUI,572,261044,2004399.914,10897.90856
0304070006850017_0009,457398.191,3808882.916,"fourFri, P1",Coconino,Ponderosa Pine ?혀 Evergreen Oak,PPE,n/a,n/a,n/a,forest,COC_TEUI,572,261044,2004399.914,10897.90856
0304070006850022_0001,456760.0879,3808878.622,"fourFri, P1",Coconino,Ponderosa Pine ?혀 Evergreen Oak,PPE,n/a,n/a,n/a,forest,COC_TEUI,572,261044,2004399.914,10897.90856
0304070006850022_0002,456998.2559,3808897.911,"fourFri, P1",Coconino,Ponderosa Pine ?혀 Evergreen Oak,PPE,n/a,n/a,n/a,forest,COC_TEUI,572,261044,2004399.914,10897.90856
0304070006850022_0004,457021.6594,3809076.652,"fourFri, P1",Coconino,Ponderosa Pine ?혀 Evergreen Oak,PPE,n/a,n/a,n/a,forest,COC_TEUI,572,261044,2004399.914,10897.90856
