"PLOT_ID","X_UTM","Y_UTM","Site","Forest","R3ERU","R3ERUCODE","R3ERUSUBCL","R3ERUSUBCO","PROV_SUBCL","SYSTEMTYPE","SOURCE","TEUI_MUS","aspect","elevation","hillshade","slope"
"0301010010020038_0001",0,0,"fourFri, P2","Apache","Ponderosa Pine Forest","PPF","Ponderosa Pine / Bunchgrass","PPG","n/a","forest","APS_TEUI","523",232,2596,190,4
"0301010010020048_0001",0,0,"fourFri, P2","Apache","Ponderosa Pine Forest","PPF","Ponderosa Pine / Gambel Oak","PPO","n/a","forest","APS_TEUI","538",313,2665.8052,189,4
"0301010010020061_0001",0,0,"fourFri, P2","Apache","Montane / Subalpine Grassland","MSG","n/a","n/a","n/a","grassland","APS_TEUI","515",355,2526.418,182,5
"0301010010150003_0001",0,0,"fourFri, P2","Apache","Ponderosa Pine Forest","PPF","Ponderosa Pine / Gambel Oak","PPO","n/a","forest","APS_TEUI","537",167,2680.7393,178,3
"0301010010150005_0001",0,0,"fourFri, P2","Apache","Ponderosa Pine Forest","PPF","Ponderosa Pine / Gambel Oak","PPO","n/a","forest","APS_TEUI","535",92,2692.397,148,10
"0301010010150020_0001",0,0,"fourFri, P2","Apache","Ponderosa Pine Forest","PPF","Ponderosa Pine / Gambel Oak","PPO","n/a","forest","APS_TEUI","140",104,2654.6853,154,9
"0301010010160003_0001",0,0,"fourFri, P2","Apache","Ponderosa Pine Forest","PPF","Ponderosa Pine / Gambel Oak","PPO","n/a","forest","APS_TEUI","538",38,2654.0974,148,17
"0301010010160009_0001",0,0,"fourFri, P2","Apache","Ponderosa Pine Forest","PPF","Ponderosa Pine / Gambel Oak","PPO","n/a","forest","APS_TEUI","537",98,2682.1824,143,12
"0301010010180008_0001",677568.9866,3759699.546,"fourFri, P2","Apache","Ponderosa Pine Forest","PPF","Ponderosa Pine / Gambel Oak","PPO","n/a","forest","APS_TEUI","140",75,2649.1362,168,4
"0301010010260001_0001",670005.5093,3756432.36,"fourFri, P2","Apache","Ponderosa Pine Forest","PPF","Ponderosa Pine / Gambel Oak","PPO","n/a","forest","APS_TEUI","535",149,2638.5952,171,6
"0301010010260045_0001",670294.2028,3756752.953,"fourFri, P2","Apache","Ponderosa Pine Forest","PPF","Ponderosa Pine / Gambel Oak","PPO","n/a","forest","APS_TEUI","140",172,2656.9873,178,5
"0301010010270001_0001",670872.9506,3757385.793,"fourFri, P2","Apache","Ponderosa Pine Forest","PPF","Ponderosa Pine / Gambel Oak","PPO","n/a","forest","APS_TEUI","535",240,2657.7566,188,3
"0301010010310001_0001",670966.6293,3756407.018,"fourFri, P2","Apache","Ponderosa Pine Forest","PPF","Ponderosa Pine / Gambel Oak","PPO","n/a","forest","APS_TEUI","535",258,2666.1958,194,4
"0301010010310003_0001",672565.4705,3755851.783,"fourFri, P2","Apache","Mixed Conifer w/ Aspen","MCW","missing data","missing d*","n/a","forest","APS_TEUI","565",265,2819.817,218,12
"0301010010310032_0001",670790.1536,3756113.527,"fourFri, P2","Apache","Ponderosa Pine Forest","PPF","Ponderosa Pine / Gambel Oak","PPO","n/a","forest","APS_TEUI","535",273,2687.3994,210,9
"0301010010310033_0001",670110.0861,3755527.524,"fourFri, P2","Apache","Ponderosa Pine Forest","PPF","Ponderosa Pine / Gambel Oak","PPO","n/a","forest","APS_TEUI","535",172,2609.7747,178,5
"0301010010310038_0001",671548.2479,3755980.682,"fourFri, P2","Apache","Ponderosa Pine Forest","PPF","Ponderosa Pine / Gambel Oak","PPO","n/a","forest","APS_TEUI","535",294,2704.785,202,8
"0301010010310038_0002",671654.2175,3755970.254,"fourFri, P2","Apache","Ponderosa Pine Forest","PPF","Ponderosa Pine / Gambel Oak","PPO","n/a","forest","APS_TEUI","535",286,2719.8296,198,6
"0301010010330004_0001",669828.4842,3755637.45,"fourFri, P2","Apache","Mixed Conifer w/ Aspen","MCW","missing data","missing d*","n/a","forest","APS_TEUI","565",2,2635.3403,179,15
"0301010010430019_0001",678710.5545,3750968.567,"fourFri, P2","Apache","Ponderosa Pine Forest","PPF","Ponderosa Pine / Gambel Oak","PPO","n/a","forest","APS_TEUI","140",73,2449.1064,143,13
"0301010010440004_0001",679503.4775,3748964.074,"fourFri, P2","Apache","Ponderosa Pine Forest","PPF","Ponderosa Pine / Gambel Oak","PPO","n/a","forest","APS_TEUI","141",207,2440.7324,204,17
"0301010010440005_0001",679459.6706,3749388.738,"fourFri, P2","Apache","Ponderosa Pine Forest","PPF","Ponderosa Pine / Gambel Oak","PPO","n/a","forest","APS_TEUI","141",167,2415.8792,170,15
"0301010010450009_0001",678150.121,3749136.049,"fourFri, P2","Apache","Ponderosa Pine Forest","PPF","Ponderosa Pine / Gambel Oak","PPO","n/a","forest","APS_TEUI","140",44,2423.4429,122,27
"0301010010450040_0001",678850.9829,3750125.717,"fourFri, P2","Apache","Ponderosa Pine Forest","PPF","Ponderosa Pine / Gambel Oak","PPO","n/a","forest","APS_TEUI","140",31,2413.1514,155,16
"0301010010530009_0001",656318.3616,3749280.958,"fourFri, P2","Apache","Mixed Conifer w/ Aspen","MCW","missing data","missing d*","n/a","forest","APS_TEUI","574",203,2639.483,182,1
"0301010010530025_0001",669162.9308,3737701.633,"fourFri, P2","Apache","Ponderosa Pine Forest","PPF","Ponderosa Pine / Gambel Oak","PPO","n/a","forest","APS_TEUI","538",173,2451.3096,177,10
"0301010010530047_0001",669389.1341,3737552.376,"fourFri, P2","Apache","Ponderosa Pine Forest","PPF","Ponderosa Pine / Gambel Oak","PPO","n/a","forest","APS_TEUI","532",173,2421.065,179,3
"0301010010640037_0001",670957.2159,3737687.642,"fourFri, P2","Apache","Ponderosa Pine Forest","PPF","Ponderosa Pine / Gambel Oak","PPO","n/a","forest","APS_TEUI","532",134,2459.2434,164,7
"0301010010640050_0001",670660.8325,3738162.516,"fourFri, P2","Apache","Ponderosa Pine Forest","PPF","Ponderosa Pine / Gambel Oak","PPO","n/a","forest","APS_TEUI","538",212,2487.6167,196,9
"0301010010640054_0001",668450.6157,3737952.942,"fourFri, P2","Apache","Ponderosa Pine Forest","PPF","Ponderosa Pine / Gambel Oak","PPO","n/a","forest","APS_TEUI","537",155,2451.0364,174,5
"0301010010640065_0001",668510.2782,3737891.987,"fourFri, P2","Apache","Ponderosa Pine Forest","PPF","Ponderosa Pine / Gambel Oak","PPO","n/a","forest","APS_TEUI","537",121,2441.954,161,7
"0301010010750002_0001",677547.6877,3748104.683,"fourFri, P2","Apache","Ponderosa Pine Forest","PPF","Ponderosa Pine / Gambel Oak","PPO","n/a","forest","APS_TEUI","141",205,2552.9978,205,19
"0301010010750003_0001",677859.9488,3748747.411,"fourFri, P2","Apache","Mixed Conifer w/ Aspen","MCW","missing data","missing d*","n/a","forest","APS_TEUI","667",335,2466.8345,196,12
"0301010010760022_0001",678310.4521,3747190.401,"fourFri, P2","Apache","Ponderosa Pine Forest","PPF","Ponderosa Pine / Gambel Oak","PPO","n/a","forest","APS_TEUI","535",209,2512.2573,191,7
"0301010010760034_0001",665217.1466,3736243.93,"fourFri, P2","Apache","Ponderosa Pine Forest","PPF","Ponderosa Pine / Gambel Oak","PPO","n/a","forest","APS_TEUI","537",250,2418.7573,196,5
"0301010010960037_0001",672074.5064,3742213.945,"fourFri, P2","Apache","Mixed Conifer w/ Aspen","MCW","missing data","missing d*","n/a","forest","APS_TEUI","565",31,2603.4475,164,10
"0301010011230005_0001",679083.3107,3742099.257,"fourFri, P2","Apache","Ponderosa Pine Forest","PPF","Ponderosa Pine / Gambel Oak","PPO","n/a","forest","APS_TEUI","535",169,2413.7656,179,2
"0301010011230006_0001",678650.7964,3741668.19,"fourFri, P2","Apache","Ponderosa Pine Forest","PPF","Ponderosa Pine / Gambel Oak","PPO","n/a","forest","APS_TEUI","535",132,2412.847,171,4
"0301010011230010_0001",678950.23,3740912.77,"fourFri, P2","Apache","Ponderosa Pine Forest","PPF","Ponderosa Pine / Gambel Oak","PPO","n/a","forest","APS_TEUI","140",303,2379.5684,210,11
"0301010011240008_0001",680251.29,3742524.955,"fourFri, P2","Apache","Ponderosa Pine Forest","PPF","Ponderosa Pine / Gambel Oak","PPO","n/a","forest","APS_TEUI","535",127,2437.7507,166,6
"0301010011240013_0001",679860.4325,3741932.675,"fourFri, P2","Apache","Ponderosa Pine Forest","PPF","Ponderosa Pine / Gambel Oak","PPO","n/a","forest","APS_TEUI","535",250,2405.9492,192,4
"0301010011240014_0001",679322.8133,3741468.355,"fourFri, P2","Apache","Ponderosa Pine Forest","PPF","Ponderosa Pine / Gambel Oak","PPO","n/a","forest","APS_TEUI","140",132,2417.8892,170,4
"0301010011250021_0001",679691.9609,3740089.036,"fourFri, P2","Apache","Ponderosa Pine Forest","PPF","Ponderosa Pine / Gambel Oak","PPO","n/a","forest","APS_TEUI","535",86,2350.4639,163,5
"0301010011270005_0001",673344.6017,3740695.982,"fourFri, P2","Apache","Mixed Conifer w/ Aspen","MCW","missing data","missing d*","n/a","forest","APS_TEUI","574",194,2769.7861,186,8
"0301010011280006_0001",672609.1734,3740932.529,"fourFri, P2","Apache","Mixed Conifer w/ Aspen","MCW","missing data","missing d*","n/a","forest","APS_TEUI","577",329,2749.3513,193,8
"0301010011280012_0001",672539.2936,3741370.377,"fourFri, P2","Apache","Mixed Conifer w/ Aspen","MCW","missing data","missing d*","n/a","forest","APS_TEUI","577",232,2742.5974,188,3
"0301010011280028_0001",671169.7701,3741955.449,"fourFri, P2","Apache","Mixed Conifer w/ Aspen","MCW","missing data","missing d*","n/a","forest","APS_TEUI","565",237,2587.5383,213,13
"0301010011310001_0001",666887.263,3738874.005,"fourFri, P2","Apache","Ponderosa Pine Forest","PPF","Ponderosa Pine / Gambel Oak","PPO","n/a","forest","APS_TEUI","537",202,2474.0562,182,1
"0301010011310002_0001",666561.9023,3739864.301,"fourFri, P2","Apache","Mixed Conifer w/ Aspen","MCW","missing data","missing d*","n/a","forest","APS_TEUI","577",137,2514.3677,176,2
"0301010011310011_0001",665611.0909,3739952.749,"fourFri, P2","Apache","Ponderosa Pine Forest","PPF","Ponderosa Pine / Gambel Oak","PPO","n/a","forest","APS_TEUI","537",213,2490.4897,187,4
"0301010011310015_0001",666792.4977,3739322.56,"fourFri, P2","Apache","Ponderosa Pine Forest","PPF","Ponderosa Pine / Gambel Oak","PPO","n/a","forest","APS_TEUI","537",152,2489.2544,177,2
"0301010011330012_0001",0,0,"fourFri, P2","Apache","Ponderosa Pine Forest","PPF","Ponderosa Pine / Gambel Oak","PPO","n/a","forest","APS_TEUI","591",144,2337.1785,176,2
"0301010011330013_0001",0,0,"fourFri, P2","Apache","Ponderosa Pine Forest","PPF","Ponderosa Pine / Gambel Oak","PPO","n/a","forest","APS_TEUI","543",135,2322.6272,170,5
"0301010011330027_0001",0,0,"fourFri, P2","Apache","Ponderosa Pine Forest","PPF","Ponderosa Pine / Gambel Oak","PPO","n/a","forest","APS_TEUI","537",161,2338.369,176,4
"0301010011330034_0001",0,0,"fourFri, P2","Apache","Ponderosa Pine Forest","PPF","Ponderosa Pine / Gambel Oak","PPO","n/a","forest","APS_TEUI","537",295,2312.1228,196,6
"0301010011340019_0001",0,0,"fourFri, P2","Apache","Ponderosa Pine Forest","PPF","Ponderosa Pine / Gambel Oak","PPO","n/a","forest","APS_TEUI","537",158,2322.6724,179,1
"0301010011420052_0001",643592.1927,3734129.209,"fourFri, P2","Apache","Ponderosa Pine Forest","PPF","Ponderosa Pine / Gambel Oak","PPO","n/a","forest","APS_TEUI","543",145,2345.6265,178,1
"0301010011440021_0001",645439.4481,3735335.188,"fourFri, P2","Apache","Ponderosa Pine Forest","PPF","Ponderosa Pine / Gambel Oak","PPO","n/a","forest","APS_TEUI","537",241,2362.6726,183,1
"0301010011480008_0001",670204.4897,3737402.626,"fourFri, P2","Apache","Ponderosa Pine Forest","PPF","Ponderosa Pine / Gambel Oak","PPO","n/a","forest","APS_TEUI","537",236,2441.7188,185,2
"0301010011480015_0001",669953.1248,3737691.726,"fourFri, P2","Apache","Ponderosa Pine Forest","PPF","Ponderosa Pine / Gambel Oak","PPO","n/a","forest","APS_TEUI","538",168,2441.2769,176,7
"0301010011480015_0002",669379.0322,3737659.754,"fourFri, P2","Apache","Ponderosa Pine Forest","PPF","Ponderosa Pine / Gambel Oak","PPO","n/a","forest","APS_TEUI","538",171,2438.831,176,9
"0301010011480024_0001",668732.9673,3737901.459,"fourFri, P2","Apache","Ponderosa Pine Forest","PPF","Ponderosa Pine / Gambel Oak","PPO","n/a","forest","APS_TEUI","537",209,2450.039,186,4
"0301010011480029_0001",669713.4641,3737564.809,"fourFri, P2","Apache","Ponderosa Pine Forest","PPF","Ponderosa Pine / Gambel Oak","PPO","n/a","forest","APS_TEUI","532",177,2420.228,180,2
"0301010011530001_0001",667607.4789,3738406.496,"fourFri, P2","Apache","Ponderosa Pine Forest","PPF","Ponderosa Pine / Gambel Oak","PPO","n/a","forest","APS_TEUI","537",161,2463.795,177,3
"0301010011560001_0001",667147.8674,3738531.27,"fourFri, P2","Apache","Ponderosa Pine Forest","PPF","Ponderosa Pine / Gambel Oak","PPO","n/a","forest","APS_TEUI","537",123,2470.396,179,1
"0301010011560022_0001",667410.0513,3738253.292,"fourFri, P2","Apache","Ponderosa Pine Forest","PPF","Ponderosa Pine / Gambel Oak","PPO","n/a","forest","APS_TEUI","537",178,2450.5913,180,5
"0301010011560042_0001",667187.353,3738945.078,"fourFri, P2","Apache","Ponderosa Pine Forest","PPF","Ponderosa Pine / Gambel Oak","PPO","n/a","forest","APS_TEUI","537",93,2472.5093,173,2
"0301010011600025_0001",641939.0306,3733941.14,"fourFri, P2","Apache","Ponderosa Pine Forest","PPF","Ponderosa Pine / Gambel Oak","PPO","n/a","forest","APS_TEUI","543",25,2366.899,174,5
"0301010011600026_0001",642232.4659,3733750.698,"fourFri, P2","Apache","Ponderosa Pine Forest","PPF","Ponderosa Pine / Gambel Oak","PPO","n/a","forest","APS_TEUI","537",93,2365.332,173,2
"0301010011600028_0001",642804.4889,3733466.08,"fourFri, P2","Apache","Ponderosa Pine Forest","PPF","Ponderosa Pine / Gambel Oak","PPO","n/a","forest","APS_TEUI","543",338,2337.6726,192,10
"0301010011630003_0001",642222.7495,3732153.322,"fourFri, P2","Apache","Ponderosa Pine Forest","PPF","Ponderosa Pine / Gambel Oak","PPO","n/a","forest","APS_TEUI","537",86,2334.3298,174,2
"0301010011930001_0001",673573.8587,3739036.29,"fourFri, P2","Apache","Mixed Conifer w/ Aspen","MCW","missing data","missing d*","n/a","forest","APS_TEUI","577",335,2722.4558,198,13
"0301010011970007_0001",641344.9877,3732655.741,"fourFri, P2","Apache","Mixed Conifer w/ Aspen","MCW","missing data","missing d*","n/a","forest","APS_TEUI","574",258,2343.755,226,15
"0301010011980003_0001",641657.2549,3733080.266,"fourFri, P2","Apache","Ponderosa Pine Forest","PPF","Ponderosa Pine / Gambel Oak","PPO","n/a","forest","APS_TEUI","537",168,2366.7773,179,1
"0301010020070010_0001",0,0,"fourFri, P2","Apache","Ponderosa Pine Forest","PPF","Ponderosa Pine / Gambel Oak","PPO","n/a","forest","APS_TEUI","543",227,2349.278,199,8
"0301010020070016_0001",0,0,"fourFri, P2","Apache","Ponderosa Pine Forest","PPF","Ponderosa Pine / Gambel Oak","PPO","n/a","forest","APS_TEUI","591",326,2321.4365,193,7
"0301010020120013_0001",0,0,"fourFri, P2","Apache","Ponderosa Pine Forest","PPF","Ponderosa Pine / Gambel Oak","PPO","n/a","forest","APS_TEUI","537",207,2477.747,183,2
"0301010020360006_0001",661688.4356,3728281.533,"fourFri, P2","Apache","Ponderosa Pine Forest","PPF","Ponderosa Pine / Gambel Oak","PPO","n/a","forest","APS_TEUI","537",290,2503.0327,197,6
"0301010020360006_0002",661891.9501,3728292.132,"fourFri, P2","Apache","Ponderosa Pine Forest","PPF","Ponderosa Pine / Gambel Oak","PPO","n/a","forest","APS_TEUI","537",64,2501.4348,172,3
"0301010020410012_0001",0,0,"fourFri, P2","Apache","Ponderosa Pine Forest","PPF","Ponderosa Pine / Gambel Oak","PPO","n/a","forest","APS_TEUI","537",115,2472.0918,164,6
"0301010020460001_0001",664999.6728,3728500.446,"fourFri, P2","Apache","Mixed Conifer w/ Aspen","MCW","missing data","missing d*","n/a","forest","APS_TEUI","577",328,2512.6968,191,7
"0301010020460011_0001",665231.7269,3737150.922,"fourFri, P2","Apache","Ponderosa Pine Forest","PPF","Ponderosa Pine / Gambel Oak","PPO","n/a","forest","APS_TEUI","538",119,2429.4778,138,16
