PLOT_ID,Site,Forest,NDVI_Sample_system:index,NDVI_Sample_NDVI_RMSE,NDVI_Sample_NDVI_amplitude_1,NDVI_Sample_NDVI_constant,NDVI_Sample_NDVI_numImages,NDVI_Sample_NDVI_phase_1,NDVI_Sample_NDVI_t
0301010020460012_0001,"fourFri, P2",Apache,00000536eb820ff1f508_0,0.077948461,0.234997662,-1.348752499,86,-2.498216906,0.005857372
0301010020660008_0001,"fourFri, P2",Apache,0000ae0c84fcff7292b3_0,0.066838829,0.255457758,-0.459699303,84,-2.554574896,0.002578433
0301010020660039_0001,"fourFri, P2",Apache,00008a3e358e109f0deb_0,0.103756236,0.30964998,-0.495928109,81,-2.48269929,0.003149091
0301060061320008_0001,"fourFri, P2",Apache,00002e5e0fba6b268d5b_0,0.070626194,0.101223668,0.58595258,151,-2.516262043,-0.001197643
0301060060450003_0001,"fourFri, P2",Apache,00006cff51832bcf63c8_0,0.127706592,0.048190584,2.234387398,107,-2.980814951,-0.006192276
0301010010440004_0001,"fourFri, P2",Apache,0000cfa6a1698fe43985_0,0.05308591,0.075086409,0.523940861,158,-1.806926688,-0.000916461
0301010020460001_0001,"fourFri, P2",Apache,0000f488a0f6f9fc111b_0,0.079183959,0.18799232,-0.766210914,83,-2.482700056,0.003828257
0311010020070016_0001,"fourFri, P2",Apache,0000f40af6fe08f4a545_0,0.064833384,0.051577582,-0.392299443,84,-1.526667071,0.002479842
0301010011440021_0001,"fourFri, P2",Apache,000053a2d8a0dd0bd956_0,0.057993453,0.117984944,-0.850981832,73,-2.057728995,0.004101204
0301010020570028_0001,"fourFri, P2",Apache,00000c0b6a95abdad299_0,0.060590946,0.148599612,-0.358456492,78,-2.325299202,0.002289939
0301060061470022_0001,"fourFri, P2",Apache,00002bf3ac978fef6689_0,0.077165229,0.07503309,-0.823467791,124,-2.024880369,0.004041994
0301010011310002_0001,"fourFri, P2",Apache,00008ddedbe5e5ad1f8c_0,0.06515446,0.133522845,-1.300636649,109,-2.089406475,0.005591763
0301010020660015_0001,"fourFri, P2",Apache,00001d199bb5df270811_0,0.08562913,0.16694284,0.489917457,80,-2.356255302,-0.000562159
0301010011310015_0001,"fourFri, P2",Apache,0000af27f7af1e8180cf_0,0.070443595,0.098709569,-0.405795008,116,-1.886526706,0.002419923
0301060061620007_0001,"fourFri, P2",Apache,000063bbff107cbfdbaf_0,0.0703649,0.2062012,0.287703484,128,-2.36381943,-8.19E-05
0301010020680006_0001,"fourFri, P2",Apache,0000f5ab1539612750ec_0,0.052902897,0.158542558,-0.907773197,70,-2.374738711,0.004202046
0301010020410012_0001,"fourFri, P2",Apache,000029fd7859bc5d0b47_0,0.045390363,0.09999239,-0.557221293,76,-2.130091924,0.002975388
0301060060770012_0001,"fourFri, P2",Apache,0000af6f69ec0406a7a8_0,0.083345113,0.126652467,0.389228851,111,-1.997963076,-0.000430694
0301060060770006_0001,"fourFri, P2",Apache,000017297ca0e6c76204_0,0.071127173,0.09227372,0.107549742,113,-2.209758135,0.000439578
0301010011600028_0001,"fourFri, P2",Apache,0000882e796a37dc02bf_0,0.074420276,0.131821011,-0.959878504,81,-2.216697623,0.004351737
0301010010330004_0001,"fourFri, P2",Apache,0000cd9e5cb5e93bf72b_0,0.076915386,0.120472683,-0.165955901,185,-2.543150413,0.001545671
0301010011230006_0001,"fourFri, P2",Apache,00005c31c8553f437f8b_0,0.043453564,0.07091336,-0.447953135,142,-1.765031417,0.002704587
0301010011420052_0001,"fourFri, P2",Apache,000029cd6444f939bf5e_0,0.067244311,0.130563527,-1.198592901,79,-2.077487953,0.005165424
0301060061670010_0001,"fourFri, P2",Apache,0000d2289232f27605b1_0,0.057966018,0.153655058,-0.397833526,142,-2.245061491,0.002281261
0301010010020061_0001,"fourFri, P2",Apache,0000226b515ff3f65160_0,0.057578662,0.071080383,0.45676741,91,-2.126009147,-0.000547429
0311060060680001_0001,"fourFri, P2",Apache,0000e85a2583d58d9853_0,0.061136698,0.087289827,0.300920069,81,-1.95388413,-1.23E-05
0301010010310033_0001,"fourFri, P2",Apache,000059813c827f13382b_0,0.099579283,0.040810518,-0.176073283,176,-2.023356149,0.002071621
0301010010160009_0001,"fourFri, P2",Apache,0000bd9ed8baeb9053eb_0,0.051207019,0.032351222,0.001343887,112,-1.656767573,0.001475154
0301010010260001_0001,"fourFri, P2",Apache,0000214606b440c105e3_0,0.057029683,0.060831226,-0.369072825,160,-1.781610305,0.002430434
0301010010160003_0001,"fourFri, P2",Apache,0000e41e1c3f921d4d8a_0,0.090676004,0.034355219,0.658221006,130,-2.300106026,-0.000706007
0301010011600026_0001,"fourFri, P2",Apache,000078c89e34b8150407_0,0.079181157,0.083808077,-0.288084984,80,-1.924335445,0.002431171
0301010010150003_0001,"fourFri, P2",Apache,00004e526cc345677a93_0,0.05627298,0.073400626,-0.362077653,119,-1.924587795,0.002492086
0301010011330027_0001,"fourFri, P2",Apache,00009dff1ec352feaafb_0,0.095060307,0.027856194,1.017676592,116,-0.766975876,-0.002207808
0301010010450040_0001,"fourFri, P2",Apache,0000582b3189f35e8afb_0,0.053435398,0.052116051,-0.248831406,159,-1.66670564,0.002087652
0301010011970007_0001,"fourFri, P2",Apache,0000b0f8d0097b3f5da2_0,0.073955877,0.013038469,0.168877751,86,-2.357429911,0.001047645
0301010010760022_0001,"fourFri, P2",Apache,0000e59100436d3b7954_0,0.072081335,0.056667358,0.590249419,166,-1.449130491,-0.000676718
0301010010760034_0001,"fourFri, P2",Apache,000012d4301342f4c310_0,0.072870401,0.048090091,0.001465014,124,-2.096866834,0.001079338
0301010010750002_0001,"fourFri, P2",Apache,0000c09a3a54336ff7c9_0,0.050732099,0.045304259,-0.029805316,155,-0.97490203,0.001663656
0301010011230005_0001,"fourFri, P2",Apache,0000863e24357139d69f_0,0.06854695,0.074633925,0.808205187,145,-1.547313712,-0.001623249
0301010010270001_0001,"fourFri, P2",Apache,00004f8f663e26cd7b20_0,0.067587937,0.069406199,-0.515354872,167,-2.083677426,0.002952939
0301010020360006_0002,"fourFri, P2",Apache,000053a881a49e95c3d6_0,0.062935449,0.041211575,-0.154726133,83,-1.593146445,0.001877376
0301010011480029_0001,"fourFri, P2",Apache,0000b70483745cf74b4e_0,0.076815793,0.064990455,-0.960976839,106,-1.303461739,0.005050801
0301010010020048_0001,"fourFri, P2",Apache,0000999ce42403f23e22_0,0.060323341,0.044211686,0.047150534,122,-2.094438199,0.001061112
0301010011240014_0001,"fourFri, P2",Apache,0000fbbeda41f54cebea_0,0.049623374,0.066578673,0.209696993,142,-1.716824053,0.000209032
0301010011250021_0001,"fourFri, P2",Apache,000018910a01c7cc1eb5_0,0.067570045,0.059759483,0.264873922,150,-1.628563192,0.000713635
0301010010530047_0001,"fourFri, P2",Apache,0000e4ad6bd3bf24f2ef_0,0.072944004,0.074299404,-0.368692458,107,-1.654075641,0.002729453
0301010010310038_0002,"fourFri, P2",Apache,0000bdf583ddb5eb5f9f_0,0.086530366,0.06864243,-0.999379754,164,-2.087275262,0.005073318
0301010010150020_0001,"fourFri, P2",Apache,000074c162cae285cfd0_0,0.068107733,0.057794332,-0.891669035,113,-2.081468013,0.004681196
0301010010430019_0001,"fourFri, P2",Apache,0000f09e8d95b0a893e4_0,0.062738734,0.042880472,-0.437568098,160,-2.068415681,0.002773363
0301010011310001_0001,"fourFri, P2",Apache,0000f2f450f84049a1ee_0,0.061158823,0.058155301,0.16011171,111,-1.484534905,0.001073559
0301010020070016_0001,"fourFri, P2",Apache,0000f3f73316160bc9a7_0,0.076226298,0.029604312,-1.005524158,86,-2.224065578,0.004764883
0301010011310011_0001,"fourFri, P2",Apache,0000cd48b89a409547cd_0,0.062665088,0.105250925,-1.385589004,111,-1.833889245,0.006195632
