PLOT_ID,X_albers,Y_albers,X_UTM,Y_UTM,Site,Forest,dbhThreshcm,PlotSizeAcres,PlotSize,RandomUniform,fpc,Elev_Class,CC_Class,Stratum,DOM_TYPE,Dom_Type_Label,Secondary_Label,LifeForm,ForestType,TCUFT,STBIOMS,Elev_ave,Elev_mode,Elev_stddev,Elev_variance,Elev_CV,Elev_IQ,Elev_skewness,Elev_kurtosis,Elev_AAD,Elev_MAD_median,Elev_MAD_mode,Elev_L2,Elev_L3,Elev_L4,Elev_LCV,Elev_Lskewness,Elev_Lkurtosis,Elev_P01,Elev_P05,Elev_P10,Elev_P20,Elev_P25,Elev_P30,Elev_P40,Elev_P50,Elev_P60,Elev_P70,Elev_P75,Elev_P80,Elev_P90,Elev_P95,Elev_P99,Pct_first_returns_above_ht,Pct_all_returns_above_ht,all_returns_above_ht_div_Total_first_returns_x_100,First_returns_above_ht,All_returns_above_ht,Pct_first_returns_above_mean,Pct_first_returns_above_mode,pct_all_returns_above_mean,pct_all_returns_above_mode,All_returns_above_mean_div_Total_first_returns_x_100,All_returns_above_mode_div_Total_first_returns_x_100,First_returns_above_mean,First_returns_above_mode,All_returns_above_mean,All_returns_above_mode,Total_first_returns,Total_all_returns
1103,-1429986.572,1733.957064,394684.642,4031923.77,NorthKaibab,NorthKaibab,20.32,0.1,1/10 Acre,0.385257879,48249,1,1.736546,K11,TEDX,udpate,udpate,udpate,dry herbaceous shrub slope,0,0,3.387409,2.176444,1.302945,1.697667,0.384644,1.56925,1.140459,3.547683,1.03614,0.7745,0.868556,0.697571,0.201105,0.062619,0.205931,0.288293,0.089768,2.02576,2.02576,2.1528,2.2514,2.31,2.4127,2.616,3.045,3.4182,3.7976,3.87925,4.2464,5.4615,6.18905,7.14498,1.738722,1.736546,1.738722,0,0,1.441103,3.007519,1.439299,3.003755,1.441103,3.007519,0,0,0,0,0,0
1101,-1424261.292,41211.39163,394113.673,4071424.111,NorthKaibab,NorthKaibab,20.32,0.1,1/10 Acre,0.196595843,48249,1,10.659794,K11,PIPO,udpate,udpate,udpate,Ponderosa Pine,469,6.81,8.297348,2.027,3.883944,15.085023,0.468095,6.97,-0.073874,1.853931,3.334634,3.127001,6.814,2.235084,-0.047469,0.021423,0.269373,-0.021238,0.009585,2.09376,2.09376,2.6512,3.8318,4.452,5.7984,7.451,8.841,9.8064,10.8802,11.422,11.9946,13.5682,14.4434,15.24024,10.754956,10.659794,10.902573,0,0,6.621679,12.378743,6.494845,12.28866,6.642767,12.568536,0,0,0,0,0,0
1105,-1425982.373,-2113.463747,399286.906,4028783.873,NorthKaibab,NorthKaibab,20.32,0.1,1/10 Acre,0.76598293,48249,1,12.081667,K11,ABLA_POTR5,udpate,udpate,udpate,wet-mixed conifer,420,9.62,5.447742,2.008,3.09232,9.562445,0.567633,4.839,0.82782,2.588173,2.622411,1.745,2.232,1.6959,0.409605,0.037271,0.311303,0.241527,0.021977,2.0307,2.0307,2.284,2.699,2.9065,3.09,3.489,4.24,5.507,6.689,7.7455,9.056,10.399,10.8965,12.8791,11.869565,12.081667,12.478261,0,0,6.73913,16.5,6.735424,16.628078,6.956522,17.173913,0,0,0,0,0,0
1104,-1426588.68,-1317.978198,398556.191,4029467.557,NorthKaibab,NorthKaibab,20.32,0.1,1/10 Acre,0.25824853,48249,1,27.882919,K11,PIEN,udpate,udpate,udpate,wet-mixed conifer,1380,31.04,7.132532,2.002,3.126831,9.777072,0.43839,4.982,0.22825,2.223362,2.609141,2.4675,4.953,1.7924,0.088537,0.095281,0.251299,0.049396,0.053158,2.0634,2.0634,2.8225,4.035,4.589,5.1775,6.144,6.955,7.889,8.9165,9.571,10.031,11.379,12.43175,14.18805,28.9532,27.882919,29.865728,0,0,15.975753,32.375179,15.012475,31.546279,16.080042,33.789597,0,0,0,0,0,0
2104,-1432351.394,2477.619963,392209.658,4032283.101,NorthKaibab,NorthKaibab,20.32,0.1,1/10 Acre,0.230918158,14743,1,29.283405,K12,TEDX,udpate,udpate,udpate,wet-mixed conifer,941,20.01,9.038698,2.001,4.621711,21.36021,0.511325,9.401,-0.141712,1.613915,4.068826,4.426,7.329,2.64903,-0.110042,-0.137261,0.293077,-0.041541,-0.051816,2.0523,2.0523,2.4726,3.3916,4.1095,5.6436,7.858,9.33,11.115399,12.8888,13.5105,13.876801,14.7756,15.296,16.066801,30.841414,29.283405,34.000626,0,0,20.550516,36.909603,18.157328,35.15625,21.082265,40.819518,0,0,0,0,0,0
1203,-1429996.494,-3259.233739,395468.876,4027038.442,NorthKaibab,NorthKaibab,20.32,0.1,1/10 Acre,0.516703074,14743,1,33.524921,K12,PIPO_PIEN,udpate,udpate,udpate,wet-mixed conifer,553,10.92,7.641937,4.177857,4.289655,18.401143,0.561331,6.724,0.671228,2.271059,3.650569,2.747,2.152857,2.39755,0.461384,0.079244,0.313736,0.19244,0.033052,2.076,2.076,2.897,3.794,4.181,4.485,5.334,6.303,7.729,9.746,10.905,12.089,14.457,15.527,17.4482,35.291829,33.524921,38.015564,0,0,16.332685,29.902724,15.244059,28.223385,17.285992,32.003891,0,0,0,0,0,0
1301,-1422276.791,43798.3314,395680.45,4074262.612,NorthKaibab,NorthKaibab,20.32,0.1,1/10 Acre,0.613774476,14743,1,36.020202,K12,PIED,udpate,udpate,udpate,Pinyon Juniper mixed with ponderosa,469,12.13,4.58217,4.372857,1.367992,1.871401,0.298547,2.081,-0.004306,2.093689,1.145958,1.042,1.083857,0.787082,-0.00307,0.040772,0.171771,-0.0039,0.051801,2.07468,2.07468,2.6104,3.251,3.555,3.7502,4.2196,4.597,5.0114,5.4188,5.636,5.8822,6.4634,6.8073,7.27628,40.847652,36.020202,40.847652,0,0,24.67354,27.42268,21.757576,24.181818,24.67354,27.42268,0,0,0,0,0,0
1201,-1420566.697,14742.19342,402003.94,4046112.24,NorthKaibab,NorthKaibab,20.32,0.1,1/10 Acre,0.520776274,14743,1,37.169442,K12,PIPO,udpate,udpate,udpate,Ponderosa Pine,1166,27.59,9.710518,13.384334,3.929667,15.442283,0.404681,6.182499,-0.158464,2.114221,3.310434,3.1195,3.774834,2.255353,-0.100974,0.103897,0.232259,-0.044771,0.046067,2.19652,2.19652,3.7672,6.1696,6.82375,7.5936,8.6458,9.7195,11.0722,12.5793,13.006249,13.467,14.6639,15.36095,17.223661,40.216121,37.169442,44.334112,0,0,23.130841,9.900701,19.711068,8.325171,23.510514,9.929907,0,0,0,0,0,0
1204,-1428521.815,-5380.772857,397275.86,4025192.901,NorthKaibab,NorthKaibab,20.32,0.1,1/10 Acre,0.844339777,14743,1,38.292337,K12,PIPO_PSME,udpate,udpate,udpate,dry-mixed conifer,1430,28.37,8.489761,8.180143,4.295344,18.44998,0.505944,7.4135,0.303589,2.046436,3.593826,3.714,3.719143,2.459794,0.199627,0.063685,0.289737,0.081156,0.02589,2.18021,2.18021,2.9255,3.9022,4.53825,5.1063,7.2318,8.2225,9.3012,10.8379,11.95175,12.772,14.6774,16.187601,17.44947,40.549928,38.292337,46.859624,0,0,21.678726,23.646889,19.701987,21.736045,24.109986,26.599132,0,0,0,0,0,0
1406,-1419858.539,12171.52222,403118.389,4043708.262,NorthKaibab,NorthKaibab,20.32,0.1,1/10 Acre,0.140186571,14743,1,39.811321,K12,ABCO_PIMO,udpate,udpate,udpate,dry-mixed conifer,613,19.35,4.930133,4.225762,2.154806,4.643188,0.437068,2.666,1.106839,4.240268,1.665664,1.325,1.290238,1.167603,0.238458,0.155857,0.23683,0.204229,0.133485,2.07426,2.07426,2.5166,3.024,3.285,3.608,4.0964,4.538,5.018,5.595,5.951,6.5088,7.9072,9.0718,11.61282,46.177917,39.811321,47.161377,0,0,23.983013,32.632991,20.641509,28.188679,24.452392,33.392937,0,0,0,0,0,0
1306,-1435230.422,21268.8879,386351.739,4050214.22,NorthKaibab,NorthKaibab,20.32,0.1,1/10 Acre,0.019850297,11701,1,40.111971,K13,PIPO,udpate,udpate,udpate,Ponderosa Pine,2522,49.99,10.165959,10.114143,3.47406,12.069096,0.341735,5.019,-0.132012,2.527101,2.836718,2.509,2.506143,1.979061,-0.059141,0.186619,0.194675,-0.029883,0.094297,2.2728,2.2728,5.7802,6.9852,7.649,8.1998,9.386,10.356,11.266,12.1708,12.668,13.2302,14.6466,15.765,17.613439,45.563173,40.111971,47.717924,0,0,25.680705,25.954946,21.768483,21.999012,25.89618,26.170421,0,0,0,0,0,0
1202,-1420755.031,14744.41569,401815.89,4046085.111,NorthKaibab,NorthKaibab,20.32,0.1,1/10 Acre,0.080745303,11701,1,40.471489,K13,PIPO,udpate,udpate,udpate,Ponderosa Pine,1943,44.05,8.475088,8.707111,3.32289,11.041596,0.392077,4.35775,0.327625,2.599532,2.650099,2.177,2.2555,1.88327,0.126714,0.21026,0.222212,0.067284,0.111646,2.28322,2.28322,4.2191,5.5538,6.14325,6.5989,7.5144,8.3245,8.9488,10.0137,10.501,11.1598,13.3111,14.864,16.223671,47.993074,40.471489,51.613411,0,0,25.358099,23.673855,20.204888,18.871883,25.767354,24.06737,0,0,0,0,0,0
2405,-1419799.698,-10901.91652,406845.548,4021150.361,NorthKaibab,NorthKaibab,20.32,0.1,1/10 Acre,0.886164676,11701,1,45.609655,K13,PSME,udpate,udpate,udpate,dry-mixed conifer,1342,26.7,7.036703,7.204286,3.026741,9.161161,0.430136,3.159,1.104937,4.882349,2.199629,1.542,1.5765,1.615196,0.23907,0.318477,0.229539,0.148013,0.197176,2.235,2.235,3.3903,4.5578,5.07175,5.579,6.24,6.815,7.351,7.9279,8.23075,8.633599,10.8203,13.2355,16.92615,63.451623,45.609655,66.484683,0,0,32.029117,29.845314,22.78402,21.285893,33.212011,31.028207,0,0,0,0,0,0
1302,-1424592.787,44079.37325,393327.351,4074177.339,NorthKaibab,NorthKaibab,20.32,0.1,1/10 Acre,0.135988199,11701,1,46.17584,K13,PIED_PIPO,udpate,udpate,udpate,Pinyon Juniper mixed with ponderosa,1029,25.36,7.020841,5.839143,3.218253,10.357151,0.458386,4.4915,0.616077,2.397841,2.646952,1.984,1.893143,1.805317,0.288114,0.141856,0.257137,0.159592,0.078577,2.14518,2.14518,3.2974,4.214,4.6015,5.0274,5.645,6.213,7.0282,8.1786,9.093,10.4248,12.1404,13.2761,14.26182,54.825737,46.17584,57.730116,0,0,24.061662,34.361037,20.192995,28.80629,25.245755,36.014298,0,0,0,0,0,0
1303,-1429372.155,3965.080433,394942.123,4034201.599,NorthKaibab,NorthKaibab,20.32,0.1,1/10 Acre,0.123805636,11701,1,48.337217,K13,POTR5,udpate,udpate,udpate,Aspen,0,1.77,6.388171,6.200048,1.588971,2.52483,0.248736,2.204,0.018421,2.958587,1.27491,1.102,1.092048,0.898828,-0.000663,0.102522,0.140702,-0.000738,0.114061,2.6656,2.6656,4.353,5.035,5.301,5.513,5.988,6.371,6.789,7.223,7.505,7.77,8.437,9.006,9.9284,82.522124,48.337217,84.144543,0,0,42.441003,46.681416,24.380428,26.816352,42.441003,46.681416,0,0,0,0,0,0
1402,-1436287.419,33708.99281,383319.879,4062216.635,NorthKaibab,NorthKaibab,20.32,0.1,1/10 Acre,0.147104704,6808,1,49.992115,K14,PIPO,udpate,udpate,udpate,Ponderosa Pine,1522,21.93,7.755381,6.494,3.899328,15.204758,0.50279,5.885499,0.514962,2.317132,3.252464,2.803,2.758,2.211941,0.289215,0.120414,0.285214,0.130752,0.054438,2.10688,2.10688,2.9986,3.9772,4.5775,5.1518,6.105,7.036,8.289599,9.5684,10.462999,11.5418,13.7016,15.0526,16.62078,56.649592,49.992115,60.140391,0,0,28.286853,35.685828,24.507176,31.162277,29.482072,37.488143,0,0,0,0,0,0
1403,-1424393.303,7252.147211,399381.236,4038191.334,NorthKaibab,NorthKaibab,20.32,0.1,1/10 Acre,0.990200589,6808,1,53.900842,K14,POTR5,udpate,udpate,udpate,Aspen,0,0,6.29846,6.479762,2.441654,5.961673,0.387659,2.174,2.010298,11.396281,1.573064,1,0.978238,1.180039,0.090287,0.302019,0.187354,0.076512,0.25594,2.21252,2.21252,3.3706,4.4734,5.073,5.4558,6.0094,6.409,6.7272,7.085,7.247,7.4258,7.9604,8.486,16.97264,79.086605,53.900842,80.228349,0,0,45.753272,41.047062,30.757717,27.595884,45.781119,41.074909,0,0,0,0,0,0
1304,-1420559.434,-2861.504274,404810.026,4028896.255,NorthKaibab,NorthKaibab,20.32,0.1,1/10 Acre,0.921720285,6808,1,56.985809,K14,PIPO_PSME,udpate,udpate,udpate,dry-mixed conifer,2097,45.07,7.429074,4.748286,3.131312,9.805112,0.421494,4.87275,0.355802,2.386037,2.636891,2.386,2.480214,1.786161,0.138543,0.104309,0.240428,0.077565,0.058398,2.173,2.173,3.5023,4.5356,4.915,5.3059,6.1772,7.024,8.2026,9.2865,9.78775,10.3214,11.6357,12.918,15.02077,65.858586,56.985809,67.759952,0,0,33.832442,54.949495,28.642814,47.161703,34.058229,56.078431,0,0,0,0,0,0
1405,-1424308.72,-743.1111069,400736.865,4030384.663,NorthKaibab,NorthKaibab,20.32,0.1,1/10 Acre,0.128911684,6808,1,57.569866,K14,POTR5,udpate,udpate,udpate,Aspen,386,6.85,10.687335,12.985524,3.178949,10.105717,0.29745,4.289749,-0.766854,2.936105,2.571262,1.923,1.957,1.765361,-0.313037,0.189042,0.165183,-0.177322,0.107084,2.45732,2.45732,5.9777,7.9254,8.741501,9.4341,10.6094,11.458,12.1258,12.7668,13.03125,13.2996,14.1931,14.913,15.67676,83.214002,57.569866,94.232299,0,0,57.040573,25.258552,34.896719,15.431349,57.120127,25.258552,0,0,0,0,0,0
2105,-1431480.749,278.0171379,393427.155,4030267.194,NorthKaibab,NorthKaibab,20.32,0.1,1/10 Acre,0.620884513,22891,2,22.720247,K21,TEIX,udpate,udpate,udpate,dry-mixed conifer,2069,38.39,13.740624,15.048191,5.158578,26.610929,0.375425,4.608249,-0.811166,2.949149,3.966706,2.058,2.059309,2.7918,-0.530633,0.463731,0.203179,-0.190068,0.166105,2.2736,2.2736,4.0795,10.155,11.987,12.7925,14.376,15.0885,15.678,16.2465,16.595249,16.968,19.987999,21.255751,21.868151,23.472591,22.720247,24.84907,0,0,16.662642,13.136923,15.54427,12.320601,17.000724,13.475006,0,0,0,0,0,0
3102,-1443229.977,24481.13289,377867.89,4052111.559,NorthKaibab,NorthKaibab,20.32,0.1,1/10 Acre,0.552274525,22891,2,24.109959,K21,PIPO,udpate,udpate,udpate,Ponderosa Pine,1254,26.28,10.744095,2.002,6.04524,36.544925,0.562657,11.7715,-0.038898,1.530713,5.445258,6.0185,9.578,3.462694,-0.013876,-0.226853,0.322288,-0.004007,-0.065513,2.06316,2.06316,2.7722,3.565,4.27725,5.1202,8.2368,11.58,13.6444,15.251901,16.04875,17.1938,18.645401,19.323851,20.227521,23.379571,24.109959,26.986129,0,0,14.653216,27.313997,14.7589,27.670122,16.519546,30.970996,0,0,0,0,0,0
4103,-1444367.909,20660.72147,377341.461,4048197.899,NorthKaibab,NorthKaibab,20.32,0.1,1/10 Acre,0.151401112,22891,2,27.6037,K21,PIPO,udpate,udpate,udpate,Ponderosa Pine,1178,27.07,8.704189,5.887,5.582744,31.167034,0.641386,6.11,1.364755,4.60473,4.255094,2.854,2.594,2.933815,0.832442,0.440766,0.337058,0.28374,0.150236,2.1992,2.1992,3.188,4.175,4.6545,5.168,6.094,7.157,8.38,9.81,10.7645,11.925,17.040001,19.373001,27.1768,31.021262,27.6037,32.241199,0,0,12.338794,20.878355,11.339899,18.770516,13.245033,21.924015,0,0,0,0,0,0
2203,-1429442.273,84.16339481,395489.449,4030394.845,NorthKaibab,NorthKaibab,20.32,0.1,1/10 Acre,0.358427741,25514,1,33.863829,K22,PSME,udpate,udpate,udpate,dry-mixed conifer,1536,29.21,10.262295,14.373587,4.665343,21.765427,0.45461,8.67575,-0.12005,1.770586,4.062497,3.995999,3.999001,2.682493,-0.102765,-0.02774,0.261393,-0.038309,-0.010341,2.18045,2.18045,3.7445,4.939,5.761,7.0785,9.01,10.614,12.548,13.92,14.43675,14.705,15.9185,17.052,18.7091,39.147311,33.863829,41.950588,0,0,22.481671,11.317849,18.590541,9.160989,23.030004,11.348654,0,0,0,0,0,0
