PLOT_ID,X_albers,Y_albers,X_UTM,Y_UTM,Site,Forest,dbhThreshcm,PlotSizeAcres,PlotSize,RandomUniform,fpc,Elev_Class,CC_Class,Stratum,DOM_TYPE,Dom_Type_Label,Secondary_Label,LifeForm,ForestType,TCUFT,STBIOMS,Elev_ave,Elev_mode,Elev_stddev,Elev_variance,Elev_CV,Elev_IQ,Elev_skewness,Elev_kurtosis,Elev_AAD,Elev_MAD_median,Elev_MAD_mode,Elev_L2,Elev_L3,Elev_L4,Elev_LCV,Elev_Lskewness,Elev_Lkurtosis,Elev_P01,Elev_P05,Elev_P10,Elev_P20,Elev_P25,Elev_P30,Elev_P40,Elev_P50,Elev_P60,Elev_P70,Elev_P75,Elev_P80,Elev_P90,Elev_P95,Elev_P99,Pct_first_returns_above_ht,Pct_all_returns_above_ht,all_returns_above_ht_div_Total_first_returns_x_100,First_returns_above_ht,All_returns_above_ht,Pct_first_returns_above_mean,Pct_first_returns_above_mode,pct_all_returns_above_mean,pct_all_returns_above_mode,All_returns_above_mean_div_Total_first_returns_x_100,All_returns_above_mode_div_Total_first_returns_x_100,First_returns_above_mean,First_returns_above_mode,All_returns_above_mean,All_returns_above_mode,Total_first_returns,Total_all_returns
3120-0210,-947728.2897,-137252.246,355196.152,3963216.931,SWJM,SWJM,12.7,0.1,1/10 Acre,0.010522448,2401,1,1,SWJM_11,PIPO,Ponderosa pine,none,Forest,update,591,11.86,8.404812,9.527619,1.710512,2.92585,0.203516,2.32,-0.692568,3.267494,1.380155,1.16,1.122381,0.954685,-0.129254,0.099573,0.113588,-0.135389,0.1043,3.856,5.22,5.92,7.02,7.38,7.64,8.15,8.63,9.12,9.52,9.7,9.9,10.33,10.69,11.454,22.799559,20.969837,0,1448,1453,12.84837,6.896552,11.776591,6.321258,12.84837,6.896552,816,438,816,438,6351,6929
3261-0521,-949720.003,-144373.5777,353880.993,3956005.413,SWJM,SWJM,12.7,0.2,1/5 Acre,0.807397773,10828,1,2,SWJM_12,PINUS,update,update,update,update,481.19,11.29,6.04527,4.805556,2.4224,5.868022,0.40071,3.5875,0.415797,2.449515,2.009143,1.68,1.754444,1.376725,0.132087,0.10743,0.227736,0.095943,0.078033,2.06,2.37,2.925,3.94,4.24,4.55,5.03,5.67,6.48,7.3,7.8275,8.26,9.415,10.48,11.773,17.978571,17.414248,0,2517,2574,9.235714,13.278571,8.815371,12.719031,9.307143,13.428571,1293,1859,1303,1880,14000,14781
3301-1550,-946905.4907,-148085.8724,357064.862,3952607.88,SWJM,SWJM,12.7,0.2,1/5 Acre,0.301451134,10828,1,2,SWJM_12,PIPO,Ponderosa pine,none,Forest,update,233.23,5.4,5.150588,2.165397,2.359074,5.565231,0.45802,3.7675,0.677421,2.492837,1.972064,1.69,2.444603,1.323251,0.23425,0.065782,0.256913,0.177026,0.049712,2.03,2.2395,2.46,2.928,3.1675,3.417,4.016,4.61,5.264,6.313,6.935,7.35,8.701,9.7105,10.9721,14.147431,13.748811,0,1140,1156,7.570117,17.585009,7.338249,17.055186,7.656987,17.795979,610,1417,617,1434,8058,8408
3470-0910,-952879.1904,-130692.2792,349391.474,3969203.926,SWJM,SWJM,12.7,0.1,1/10 Acre,0.907516921,10828,1,2,SWJM_12,POTR5,aspen,none,Deciduous ,update,726.88,16.75,5.576399,5.494762,1.144847,1.310675,0.205302,1.45,-0.48194,3.225253,0.890271,0.73,0.725238,0.638322,-0.054749,0.093922,0.114468,-0.085771,0.14714,2.5664,3.3,4.054,4.724,4.92,5.1,5.41,5.64,5.92,6.19,6.37,6.56,6.998,7.24,7.9036,48.459805,35.110144,0,1290,1291,26.558978,28.512397,19.227631,20.641828,26.558978,28.512397,707,759,707,759,2662,3677
3470-1210,-954401.1316,-132064.86,347994.895,3967707.166,SWJM,SWJM,12.7,0.1,1/10 Acre,0.809702823,10828,1,2,SWJM_12,PIPO,Ponderosa pine,none,Forest,update,277.69,7.53,4.11232,2.636667,1.483597,2.201059,0.360769,2.1,0.782062,3.140173,1.199094,1.05,1.223333,0.825899,0.13373,0.074977,0.200835,0.16192,0.090782,2.05,2.2,2.406,2.71,2.9,3.084,3.52,3.86,4.32,4.78,5,5.25,6.182,6.932,8.26,16.557198,15.883434,0,605,605,10.31746,19.157088,9.897611,18.377527,10.31746,19.157088,377,700,377,700,3654,3809
3520-1510,-957645.0325,-132628.866,344790.955,3966846.269,SWJM,SWJM,12.7,0.1,1/10 Acre,0.463734738,10828,1,2,SWJM_12,PIPO,Ponderosa pine,none,Forest,update,611.72,12.97,5.294389,5.105238,1.957995,3.833745,0.369825,2.89,0.420169,2.601683,1.60492,1.45,1.425238,1.112344,0.092765,0.085424,0.210099,0.083396,0.076796,2.0865,2.4225,2.795,3.42,3.7,4.02,4.63,5.18,5.73,6.25,6.59,7.01,7.99,8.9,10.113,31.331699,29.014369,0,2301,2302,17.211329,18.831699,15.944038,17.443912,17.224946,18.845316,1264,1383,1265,1384,7344,7934
3571-1000,-961896.1777,-134387.7729,340690.361,3964712.073,SWJM,SWJM,12.7,0.1,1/10 Acre,0.68668621,10828,1,2,SWJM_12,PIPO,Ponderosa pine,none,Forest,update,874,17.8,6.94937,7.381429,2.754385,7.586637,0.39635,4.387501,-0.108628,2.058504,2.321538,2.05,2.038572,1.580357,-0.056913,0.066153,0.22741,-0.036013,0.04186,2.1,2.4675,2.85,3.92,4.7125,5.385,6.38,7.31,7.93,8.735,9.1,9.42,10.41,11.129999,12.48,28.185418,26.765799,0,1210,1224,17.493594,15.90962,16.42248,14.935491,17.493594,15.90962,751,683,751,683,4293,4573
3580-0640,-959713.031,-136222.092,343059.745,3963107.679,SWJM,SWJM,12.7,0.1,1/10 Acre,0.136688134,10828,1,2,SWJM_12,PIPO,Ponderosa pine,none,Forest,update,1497.84,30.45,8.255058,10.008254,2.717023,7.382216,0.329134,3.88,-0.463278,2.416299,2.233558,1.67,1.688254,1.532402,-0.189553,0.136428,0.185632,-0.123696,0.089029,2.2642,3.202,3.982,5.55,6.3,7.016,8.15,8.86,9.41,9.92,10.18,10.426001,11.436,12.15,13.2416,49.471565,40.505829,0,1966,2050,31.479618,15.475591,24.738194,12.151749,31.504781,15.475591,1251,615,1252,615,3974,5061
3620-0630-2,-960451.4977,-141089.2422,342786.671,3958237.18,SWJM,SWJM,12.7,0.2,1/5 Acre,0.88098571,10828,1,2,SWJM_12,PIPO,Ponderosa pine,none,Forest,update,301.73,7.02,5.376364,3.992222,2.13713,4.567323,0.397505,3.3,0.394616,2.177546,1.804633,1.61,1.517778,1.220402,0.123919,0.054655,0.226994,0.101539,0.044784,2.07,2.33,2.719,3.31,3.66,3.957,4.47,5.02,5.834,6.48,6.96,7.53,8.49,9.2105,10.0001,24.699684,22.827955,0,2344,2391,13.277134,20.252898,12.067978,18.560244,13.319283,20.484721,1260,1922,1264,1944,9490,10474
3411-1111,-947083.7152,-151927.8566,357255.577,3948801.258,SWJM,SWJM,12.7,0.1,1/10 Acre,0.633435673,2835,1,3,SWJM_13,JUDE2_PIPO,alligator juniper,Ponderosa pine,Woodland_Mix,update,1960.11,39.53,4.987955,3.364286,1.895645,3.593469,0.380045,2.65,0.725055,2.976751,1.532937,1.275,1.33,1.058928,0.165888,0.100794,0.212297,0.156656,0.095185,2.11,2.47,2.78,3.28,3.49,3.73,4.198,4.685,5.212,5.739,6.14,6.55,7.893,8.64,9.9566,49.78055,42.638398,0,2155,2172,25.271425,45.068145,21.672556,38.535532,25.502426,45.345345,1094,1951,1104,1963,4329,5094
