PLOT_ID,X_albers,Y_albers,X_UTM,Y_UTM,Site,Forest,dbhThreshcm,PlotSizeAcres,PlotSize,RandomUniform,fpc,Elev_Class,CC_Class,Stratum,DOM_TYPE,Dom_Type_Label,Secondary_Label,LifeForm,ForestType,TCUFT,STBIOMS,Elev_ave,Elev_mode,Elev_stddev,Elev_variance,Elev_CV,Elev_IQ,Elev_skewness,Elev_kurtosis,Elev_AAD,Elev_MAD_median,Elev_MAD_mode,Elev_L2,Elev_L3,Elev_L4,Elev_LCV,Elev_Lskewness,Elev_Lkurtosis,Elev_P01,Elev_P05,Elev_P10,Elev_P20,Elev_P25,Elev_P30,Elev_P40,Elev_P50,Elev_P60,Elev_P70,Elev_P75,Elev_P80,Elev_P90,Elev_P95,Elev_P99,Pct_first_returns_above_ht,Pct_all_returns_above_ht,all_returns_above_ht_div_Total_first_returns_x_100,First_returns_above_ht,All_returns_above_ht,Pct_first_returns_above_mean,Pct_first_returns_above_mode,pct_all_returns_above_mean,pct_all_returns_above_mode,All_returns_above_mean_div_Total_first_returns_x_100,All_returns_above_mode_div_Total_first_returns_x_100,First_returns_above_mean,First_returns_above_mode,All_returns_above_mean,All_returns_above_mode,Total_first_returns,Total_all_returns
031102Lidar10001_0001,-1345210.555,-251757.003,519344.7345,3797058.471,"fourFri, P1",Sitgreaves,12.7,0.1,1/10 Acre,0.039486493,7998,1,2,ASP1_12,PIPO,update,update,update,update,321,7.3,5.21,4.42,1.21,1.46,0.23,1.77,-0.03,2.4,1,0.89,1.04,0.69,-0.006081,0.05,0.13,-0.008776,0.07,2.7,3.24,3.55,4.13,4.35,4.5,4.86,5.22,5.58,5.93,6.12,6.34,6.78,7.11,7.7,28.32,25.89,28.32,1258,1258,14.54,21.23,13.29,19.41,14.54,21.23,646,943,646,943,4441,4858
031102Lidar10002_0002,-1339102.677,-245562.2255,524442.3457,3804077.407,"fourFri, P1",Sitgreaves,12.7,0.2,1/5 Acre,0.837567705,7998,1,2,ASP1_12,PIPO,update,update,update,update,566.5,15.39,5.84,6.07,1.99,3.97,0.34,2.86,0.22,2.42,1.63,1.44,1.5,1.13,0.05,0.09,0.19,0.04,0.08,2.16,2.72,3.22,3.94,4.29,4.59,5.28,5.84,6.31,6.84,7.15,7.62,8.58,9.3,10.49,29.81,27.15,29.98,2295,2308,16.27,14.73,14.74,13.34,16.27,14.73,1253,1134,1253,1134,7698,8500
031102Lidar10003_0003,-1329289.379,-237464.0952,532927.0632,3813536.856,"fourFri, P1",Sitgreaves,12.7,0.1,1/10 Acre,0.640786219,7998,1,2,ASP1_12,JUDE2,update,update,update,update,1583.23,36.13,4,3.64,1.13,1.28,0.28,1.63,0.3,2.35,0.92,0.81,0.8,0.64,0.04,0.05,0.16,0.06,0.08,2.05,2.25,2.51,2.95,3.16,3.36,3.65,3.88,4.19,4.54,4.79,5.01,5.67,6.04,6.47,28.75,26.96,28.75,805,805,16.96,22,15.91,20.63,16.96,22,475,616,475,616,2800,2985
031102Lidar10004_0004,-1357255.35,-227346.9356,503495.9154,3819088.322,"fourFri, P1",Sitgreaves,12.7,0.1,1/10 Acre,0.60769052,7998,1,2,ASP1_12,PIPO,update,update,update,update,469.26,15.05,5.33,3.13,2.26,5.13,0.42,3.83,0.38,1.97,1.97,1.79,1.78,1.29,0.14,0.006553,0.24,0.1,0.00506,2.1,2.32,2.58,3.11,3.34,3.65,4.13,4.91,5.97,6.65,7.17,7.65,8.66,9.17,10.31,25.55,24.65,25.65,770,773,14.57,24.82,14,23.95,14.57,24.92,439,748,439,751,3013,3135
031102Lidar10005_0005,-1342432.273,-230577.6638,518758.6084,3818234.084,"fourFri, P1",Sitgreaves,12.7,0.1,1/10 Acre,0.411239595,7998,1,2,ASP1_12,JUDE2_PIED,update,update,update,update,1131.23,24.95,4.71,2.99,1.68,2.82,0.35,2.94,0.25,1.84,1.48,1.41,1.5,0.96,0.07,-0.01,0.2,0.07,-0.01,2.13,2.39,2.66,3.02,3.21,3.4,3.83,4.5,5.32,5.8,6.15,6.52,7.09,7.4,7.99,35.26,32.26,35.47,2018,2030,21.07,35.36,19.17,32.36,21.07,35.57,1206,2024,1206,2036,5723,6291
031102Lidar10006_0006,-1346322.325,-246830.1291,517459.1055,3801710.955,"fourFri, P1",Sitgreaves,12.7,0.2,1/5 Acre,0.618796029,8194,2,2,ASP1_22,PIPO,update,update,update,update,840,17.64,8.83,8.08,2.33,5.47,0.26,3.68,-0.1,2.23,1.95,1.85,1.86,1.34,-0.02,0.07,0.15,-0.02,0.05,3.56,5.11,5.67,6.54,7.02,7.5,8.18,8.85,9.59,10.33,10.71,11.08,11.93,12.49,13.29,29.55,27.33,30.01,1679,1705,15.13,18.5,13.78,16.86,15.13,18.51,860,1051,860,1052,5681,6237
031102Lidar10007_0007,-1351453.474,-224150.4063,508763.6259,3823122.653,"fourFri, P1",Sitgreaves,12.7,0.1,1/10 Acre,0.985525328,7831,1,1,ASP1_11,JUMO,update,update,update,update,663.85,16.78,3.27,2.43,0.92,0.85,0.28,1.27,0.93,3.36,0.74,0.6,0.62,0.5,0.1,0.04,0.15,0.2,0.09,2.04,2.16,2.28,2.45,2.54,2.61,2.82,3.06,3.35,3.64,3.81,4,4.67,5.06,5.89,12.49,12.3,12.49,322,322,10.04,19.16,9.89,18.87,10.04,19.16,259,494,259,494,2578,2617
031102Lidar10008_0008,-1349171.587,-236661.9946,513014.9412,3811225.656,"fourFri, P1",Sitgreaves,12.7,0.1,1/10 Acre,0.438630317,7831,1,1,ASP1_11,PIPO,update,update,update,update,157.91,19.89,3.36,2.44,1.01,1.02,0.29,1.35,1.58,7.69,0.75,0.65,0.77,0.53,0.1,0.07,0.15,0.19,0.14,2.04,2.13,2.27,2.5,2.59,2.75,3,3.22,3.45,3.73,3.94,4.09,4.51,5.14,7.43,19.3,19.21,19.54,708,717,14.06,26.96,14.01,26.74,14.25,27.2,516,989,523,998,3668,3731
031102Lidar10009_0009,-1364996.144,-243007.3501,498273.4303,3802544.87,"fourFri, P1",Sitgreaves,12.7,0.1,1/10 Acre,0.040161785,7968,2,1,ASP1_21,PIPO,update,update,update,update,766.34,16.2,8.67,7.62,2.29,5.28,0.26,2.89,-0.62,3.13,1.81,1.45,1.81,1.28,-0.14,0.16,0.14,-0.11,0.12,2.59,3.71,5.82,6.93,7.41,7.75,8.35,8.88,9.44,10,10.31,10.74,11.51,11.92,12.72,23.68,21.76,23.81,1297,1304,13.26,17.71,12.11,16.19,13.26,17.71,726,970,726,970,5475,5991
031102Lidar10010_0010,-1362534.898,-243764.1672,500842.2139,3802187.315,"fourFri, P1",Sitgreaves,12.7,0.2,1/5 Acre,0.588684055,8049,3,1,ASP1_31,PIPO,update,update,update,update,939.52,18.63,9.39,2.9,5.52,30.53,0.58,9.7,0.38,1.74,5,4.29,4.43,3.12,0.4,-0.1,0.33,0.12,-0.03,2.14,2.57,3.07,3.97,4.44,4.94,5.95,7.34,11.78,13.5,14.14,15.02,17.22,19.1,20.17,22.34,21.69,23.11,1339,1385,11.12,22.57,10.77,21.91,11.48,23.34,667,1353,688,1399,5993,6384
