PLOT_ID,X_albers,Y_albers,X_UTM,Y_UTM,Site,Forest,dbhThreshcm,PlotSizeAcres,PlotSize,RandomUniform,fpc,Elev_Class,CC_Class,Stratum,DOM_TYPE,Dom_Type_Label,Secondary_Label,LifeForm,ForestType,TCUFT,STBIOMS,Elev_ave,Elev_mode,Elev_stddev,Elev_variance,Elev_CV,Elev_IQ,Elev_skewness,Elev_kurtosis,Elev_AAD,Elev_MAD_median,Elev_MAD_mode,Elev_L2,Elev_L3,Elev_L4,Elev_LCV,Elev_Lskewness,Elev_Lkurtosis,Elev_P01,Elev_P05,Elev_P10,Elev_P20,Elev_P25,Elev_P30,Elev_P40,Elev_P50,Elev_P60,Elev_P70,Elev_P75,Elev_P80,Elev_P90,Elev_P95,Elev_P99,Pct_first_returns_above_ht,Pct_all_returns_above_ht,all_returns_above_ht_div_Total_first_returns_x_100,First_returns_above_ht,All_returns_above_ht,Pct_first_returns_above_mean,Pct_first_returns_above_mode,pct_all_returns_above_mean,pct_all_returns_above_mode,All_returns_above_mean_div_Total_first_returns_x_100,All_returns_above_mode_div_Total_first_returns_x_100,First_returns_above_mean,First_returns_above_mode,All_returns_above_mean,All_returns_above_mode,Total_first_returns,Total_all_returns
031102LIDAR20110_0110,-1323993.38,-258751.2822,-110.548454,34.28195469,"fourFri, P2","Sitgreaves, P2",12.75,0.1,1/10th Acre,0.855703253,7831,1,1,ASP2_11,PIPO_QUGA,Ponderosa pine,gambel oak,Woodland_Mix,update,138.3474426,3.680803776,3.004371,2.249524,0.771644,0.595435,0.256841,0.92,1.71498,7.815672,0.566263,0.46,0.620476,0.399377,0.086034,0.064524,0.132932,0.215419,0.161563,2.0232,2.09,2.19,2.35,2.45,2.55,2.71,2.87,3.05,3.27,3.37,3.47,3.9,4.28,6.1268,11.208678,10.565549,11.225895,651,652,11.208678,22.813361,10.565549,21.503808,11.225895,22.847796,651,1325,652,1327,5808,6171
031102LIDAR20109_0109,-1337850.094,-254525.2871,-110.7054388,34.30030654,"fourFri, P2","Sitgreaves, P2",12.75,0.2,1/5th Acre,0.448825123,7831,1,1,ASP2_11,2TD,Deciduous tree mix,none,Deciduous ,update,26.80081558,5.917199135,3.796467,2.01,1.515485,2.296694,0.399183,2.19,1.265706,5.377661,1.21452,1.02,1.42,0.814675,0.178977,0.064212,0.214588,0.219692,0.078819,2.03,2.11,2.2,2.43,2.54,2.67,3.03,3.43,3.93,4.48,4.73,5.07,5.78,6.3445,9.149,12.563859,12.463752,13.021266,2115,2192,8.964001,20.654628,8.858816,20.435549,9.255079,21.34965,1509,3477,1558,3594,16834,17587
031102LIDAR20101_0101,-1312666.364,-257145.7165,-110.4285588,34.31153587,"fourFri, P2","Sitgreaves, P2",12.75,0.1,1/10th Acre,0.967519812,7831,1,1,ASP2_11,TEIX,"Tree, evergreen shade-intolerant mix",none,Forest,update,233.5394135,6.251300812,3.454849,2.545556,0.990029,0.980158,0.286562,1.465,0.650797,2.907604,0.813076,0.72,0.774444,0.55661,0.075966,0.040628,0.16111,0.13648,0.072993,2.02,2.12,2.26,2.54,2.6475,2.77,3.03,3.32,3.61,3.93,4.1125,4.334,4.82,5.257,6.1677,14.666037,13.996096,14.68179,931,932,10.838059,19.045369,10.331882,18.215948,10.838059,19.108381,688,1209,688,1213,6348,6659
031107LIDAR20103_0103,-1295791.19,-262480.4514,-110.2371334,34.2870392,"fourFri, P2","Sitgreaves, P2",12.75,0.1,1/10th Acre,0.488135538,7831,1,1,ASP2_11,JUDE2,alligator juniper,none,Woodland_Mix,update,581.4380493,13.82623291,3.362851,2.412381,1.41554,2.003754,0.420934,1.06,2.507805,9.983852,0.90477,0.53,0.597619,0.645154,0.249082,0.183274,0.191847,0.386081,0.284078,2.02,2.09,2.214,2.42,2.52,2.622,2.816,3.01,3.23,3.45,3.58,3.772,4.6,6.772,9.483,15.035088,13.92018,15.175439,857,865,10.087719,24,9.365948,22.22401,10.210526,24.22807,575,1368,582,1381,5700,6214
031102LIDAR20102_0102,-1311965.652,-256483.8454,-110.4220701,34.31833556,"fourFri, P2","Sitgreaves, P2",12.75,0.1,1/10th Acre,0.131326134,7831,1,1,ASP2_11,PIPO_QUGA,Ponderosa pine,gambel oak,Woodland_Mix,update,131.3678436,3.586747169,3.760054,2.01,1.321336,1.745929,0.351414,1.9,0.80431,2.840131,1.079838,0.86,1.43,0.733881,0.143641,0.057915,0.195178,0.195728,0.078916,2.0312,2.126,2.252,2.574,2.7,2.86,3.13,3.44,3.8,4.294,4.6,4.92,5.78,6.484,7.1388,15.362762,14.285714,15.515734,1406,1420,9.833916,23.874563,9.114688,22.203219,9.899476,24.114948,900,2185,906,2207,9152,9940
031102LIDAR20113_0113,-1326975.682,-252296.5775,-110.5915176,34.33493787,"fourFri, P2","Sitgreaves, P2",12.75,0.2,1/5th Acre,0.771641531,7831,1,1,ASP2_11,PIPO,Ponderosa pine,none,Forest,update,251.2719269,6.852974892,4.728914,2.554127,2.139516,4.577529,0.452433,3.31,0.738787,2.391608,1.796386,1.39,1.575873,1.189778,0.248857,0.051421,0.251597,0.209163,0.043219,2.06,2.22,2.42,2.77,2.96,3.18,3.58,4.13,4.678,5.596,6.27,6.92,8.13,8.85,9.6472,19.362966,17.520363,20.127767,2152,2237,10.491272,22.656109,9.351504,20.488722,10.743207,23.53788,1166,2518,1194,2616,11114,12768
031102LIDAR20105_0105,-1318473.402,-247573.4499,-110.5073424,34.38828387,"fourFri, P2","Sitgreaves, P2",12.75,0.1,1/10th Acre,0.099660871,7831,1,1,ASP2_11,JUNIP,Juniper,none,Woodland_Mix,update,473.4261475,12.63575077,3.612346,2.01,1.203205,1.447703,0.333081,1.56,0.935804,3.29244,0.954171,0.735,1.365,0.660509,0.136793,0.074015,0.182848,0.207102,0.112058,2.0381,2.11,2.25,2.57,2.7,2.83,3.08,3.375,3.63,4.007,4.26,4.54,5.418,6.1095,6.9338,19.518199,17.829334,19.729207,1110,1122,12.607702,30.78952,11.473065,28.221834,12.695622,31.229119,717,1751,722,1776,5687,6293
031102LIDAR20106_0106,-1318525.021,-248648.037,-110.5061107,34.37871464,"fourFri, P2","Sitgreaves, P2",12.75,0.1,1/10th Acre,0.338275922,7831,1,1,ASP2_11,JUDE2,alligator juniper,none,Woodland_Mix,update,1149.501831,25.78992462,4.421045,2.01,2.023543,4.094727,0.457707,3.065,0.769836,2.703361,1.674122,1.48,2.03,1.125505,0.225409,0.053144,0.254579,0.200274,0.047218,2.02,2.09,2.2,2.47,2.6075,2.849,3.38,4.04,4.65,5.211,5.6725,6.274,7.497,8.3385,9.7891,20.595701,18.92825,21.340328,1217,1261,13.79252,30.935861,12.578805,28.444911,14.181757,32.069724,815,1828,838,1895,5909,6662
031102LIDAR20107_0107,-1328623.513,-243978.6887,-110.6233165,34.4061982,"fourFri, P2","Sitgreaves, P2",12.75,0.1,1/10th Acre,0.327817853,7831,1,1,ASP2_11,JUMO,Oneseed juniper,none,Woodland_Mix,update,1089.097656,28.8945694,3.903932,2.01,1.453174,2.111714,0.372233,2.28,0.609846,2.291124,1.233602,1.07,1.58,0.818605,0.13865,0.024055,0.209687,0.169374,0.029386,2.03,2.1195,2.24,2.52,2.65,2.79,3.116,3.59,4.11,4.67,4.93,5.27,6.15,6.6805,7.2101,22.760007,19.956616,23.111707,1359,1380,16.161447,35.839893,14.041938,31.612437,16.261933,36.610283,965,2140,971,2186,5971,6915
031102LIDAR20111_0111,-1300501.496,-258837.5032,-110.2940863,34.31295668,"fourFri, P2","Sitgreaves, P2",12.75,0.1,1/10th Acre,0.435232987,7998,1,2,ASP2_12,JUNIP,Juniper,none,Woodland_Mix,update,735.6472168,24.19304276,4.201712,4.367143,1.248082,1.55771,0.297041,1.9,0.302092,2.371319,1.032196,0.955,0.972857,0.713126,0.045979,0.049059,0.169723,0.064476,0.068794,2.06,2.31,2.571,3.02,3.21,3.4,3.78,4.13,4.46,4.86,5.11,5.34,5.95,6.4,7.07,24.316671,22.415926,24.538291,1975,1993,14.540754,13.174095,13.361827,12.113373,14.626939,13.260281,1181,1070,1188,1077,8122,8891
