PLOT_ID,X_albers,Y_albers,X_UTM,Y_UTM,Site,Forest,dbhThreshcm,PlotSizeAcres,PlotSize,RandomUniform,fpc,Elev_Class,CC_Class,Stratum,DOM_TYPE,Dom_Type_Label,Secondary_Label,LifeForm,ForestType,TCUFT,STBIOMS,Elev_ave,Elev_mode,Elev_stddev,Elev_variance,Elev_CV,Elev_IQ,Elev_skewness,Elev_kurtosis,Elev_AAD,Elev_MAD_median,Elev_MAD_mode,Elev_L2,Elev_L3,Elev_L4,Elev_LCV,Elev_Lskewness,Elev_Lkurtosis,Elev_P01,Elev_P05,Elev_P10,Elev_P20,Elev_P25,Elev_P30,Elev_P40,Elev_P50,Elev_P60,Elev_P70,Elev_P75,Elev_P80,Elev_P90,Elev_P95,Elev_P99,Pct_first_returns_above_ht,Pct_all_returns_above_ht,all_returns_above_ht_div_Total_first_returns_x_100,First_returns_above_ht,All_returns_above_ht,Pct_first_returns_above_mean,Pct_first_returns_above_mode,pct_all_returns_above_mean,pct_all_returns_above_mode,All_returns_above_mean_div_Total_first_returns_x_100,All_returns_above_mode_div_Total_first_returns_x_100,First_returns_above_mean,First_returns_above_mode,All_returns_above_mean,All_returns_above_mode,Total_first_returns,Total_all_returns
0312040000110010_0001,-1356668.494,-252807.8326,508110.8695,3794243.822,"fourFri, P1",Tonto,12.7,0.05,1/20 Acre,0.451465938,104.6691578,1,999,Ton_1,PIPO_PSME,update,update,update,update,896.99,18.59,7.18,3.07,3.25,10.57,0.45,5.19,0.33,2.1,2.76,2.51,3.67,1.86,0.16,0.06,0.25,0.08,0.03,2.08,2.59,3.07,4.01,4.49,4.89,5.9,6.75,7.98,8.94,9.68,10.38,11.89,12.91,14.04,50.37,41.47,53.14,2132,2249,26.65,49.95,21.04,41.12,26.96,52.69,1128,2114,1141,2230,4232,5423
0312040000110010_0002,-1356855.464,-252634.6484,507897.4352,3794384.315,"fourFri, P1",Tonto,12.7,0.05,1/20 Acre,0.289033221,104.6691578,1,999,Ton_1,PIPO,update,update,update,update,5419.83,89.4,15.55,21.42,6.57,43.26,0.42,10.58,-0.26,2.05,5.56,5.65,5.74,3.77,-0.25,0.11,0.24,-0.06,0.03,2.35,3.4,5.73,9.25,11.17,12.24,13.7,15.68,17.95,20.45,21.75,22.4,24.04,24.81,25.83,73.87,66.22,101.31,1408,1931,48.42,29.43,34.73,19.23,53.14,29.43,923,561,1013,561,1906,2916
0312040000110010_0003,-1356661.001,-252666.6496,508095.9783,3794383.278,"fourFri, P1",Tonto,12.7,0.05,1/20 Acre,0.675720989,104.6691578,1,999,Ton_1,TEIX,update,update,update,update,5516.32,111.32,7.42,8.72,3.62,13.11,0.48,5.42,0.52,2.44,3.03,2.74,3.42,2.05,0.25,0.1,0.27,0.12,0.04,2.13,2.65,3.09,3.87,4.25,4.75,5.7,7.16,8.29,9.2,9.67,10.32,12.9,13.98,16.36,58.23,50.49,66.14,1942,2206,31.96,25.12,26.29,20.14,34.45,26.38,1066,838,1149,880,3335,4369
0312040000110010_0004,-1356466.621,-252698.6422,508294.4374,3794382.236,"fourFri, P1",Tonto,12.7,0.05,1/20 Acre,0.088998117,104.6691578,1,999,Ton_1,PIPO,update,update,update,update,2195.18,41.05,10.28,12.88,4.25,18.07,0.41,6.43,-0.3,2.06,3.58,2.99,2.93,2.42,-0.2,0.1,0.23,-0.08,0.04,2.3,2.89,3.46,5.94,7.04,8.06,9.71,11.12,12.06,12.99,13.47,14.08,15.6,16.36,17.76,69.03,55.99,75.11,2078,2261,44.05,24.98,33.33,18.67,44.71,25.04,1326,752,1346,754,3010,4038
0312040000110010_0005,-1356884.664,-252428.6875,507835.7825,3794581.502,"fourFri, P1",Tonto,12.7,0.05,1/20 Acre,0.807540999,104.6691578,1,999,Ton_1,PIPO_PSME,update,update,update,update,1872.47,30.93,14.55,16.02,5.22,27.34,0.35,6.97,-0.49,2.61,4.2,3.5,3.5,2.95,-0.31,0.29,0.2,-0.1,0.1,2.39,4.18,6.33,10.11,11.45,12.44,13.82,15.07,16.26,17.77,18.42,19.29,21.17,21.94,23.68,56.59,47.05,63.91,1493,1686,33.85,27.63,26.26,21.04,35.67,28.58,893,729,941,754,2638,3583
0312040000110010_0006,-1356687.343,-252459.8609,508037.0384,3794581.721,"fourFri, P1",Tonto,12.7,0.05,1/20 Acre,0.836548022,104.6691578,1,999,Ton_1,TEIX,update,update,update,update,1512.66,29.82,7.59,2.94,5.74,33.04,0.75,6.82,1.18,3.09,4.63,2.17,2.17,2.98,1.04,0.28,0.39,0.34,0.09,2.07,2.28,2.56,3.12,3.35,3.59,4.28,5.11,6.46,8.23,10.17,12.34,19.27,20.09,21.11,37.56,36.12,40.6,1039,1123,14.35,38.06,14.05,36.63,15.79,41.17,397,1053,437,1139,2766,3109
0312040000110010_0007,-1356522.303,-252485.76,508205.3423,3794582.075,"fourFri, P1",Tonto,12.7,0.05,1/20 Acre,0.978908825,104.6691578,1,999,Ton_1,TEIX,update,update,update,update,3791.77,64.69,10.67,4.64,6.6,43.6,0.61,12.11,0.53,1.91,5.83,4.27,3.37,3.71,0.63,-0.04,0.34,0.17,-0.01,2.16,2.81,3.51,4.59,5.02,5.6,6.65,8.02,11.23,15.64,17.13,18.1,20.73,22.02,24.73,67.88,59.16,81.08,1059,1265,33.39,58.2,26.84,50.32,36.79,68.97,521,908,574,1076,1560,2138
0312040000110010_0008,-1356949.67,-252215.008,507737.2834,3794780.668,"fourFri, P1",Tonto,12.7,0.05,1/20 Acre,0.324840849,104.6691578,1,999,Ton_1,PIPO_QUAR,update,update,update,update,2609.73,48.87,10.87,2.01,7.13,50.97,0.65,14.43,0.12,1.37,6.64,7.28,8.92,4.02,0.26,-0.45,0.37,0.06,-0.11,2.07,2.26,2.63,3.26,3.53,3.94,4.87,10.93,14.66,16.71,17.97,18.61,20.54,21.28,22.02,40.33,39.1,44.78,824,915,24.71,48.16,23.24,46.23,26.62,52.96,505,984,544,1082,2043,2340
0312040000110010_0009,-1356753.908,-252245.8105,507936.9296,3794781.007,"fourFri, P1",Tonto,12.7,0.05,1/20 Acre,0.568130227,104.6691578,1,999,Ton_1,TEIX,update,update,update,update,2860.74,55.29,10.4,4.7,5.37,28.88,0.51,9.89,0.4,1.85,4.77,4.12,4.32,3.04,0.4,-0.07,0.29,0.13,-0.02,2.78,3.93,4.62,5.06,5.31,5.63,7.32,9.03,12.02,13.81,15.2,16.01,18.21,19.76,21.57,48.39,40.5,54.31,768,862,23.88,43.41,19.31,36.32,25.89,48.7,379,689,411,773,1587,2128
0312040000110017_0001,-1358056.965,-252851.4732,506736.3454,3793984.674,"fourFri, P1",Tonto,12.7,0.05,1/20 Acre,0.426116681,315.6099844,2,999,Ton_2,PIPO,update,update,update,update,2480,39.17,13.26,3.71,7.57,57.36,0.57,14.15,0.23,1.6,6.9,6.51,7.24,4.31,0.32,-0.24,0.32,0.07,-0.05,2.29,3.33,4.11,5.9,6.52,7.31,8.71,10.95,16.34,19.48,20.68,21.65,23.84,24.85,25.95,55.41,48.03,63.42,1785,2043,27.38,53.86,22.83,46.53,30.14,61.44,882,1735,971,1979,3221,4253
