STBIOMSha,Pct_all_returns_above_ht,pct_all_returns_above_mean,all_returns_above_ht_div_Total_first_returns_x_100,All_returns_above_mode_div_Total_first_returns_x_100,Pct_first_returns_above_ht,Pct_first_returns_above_mean,Pct_first_returns_above_mode,pct_all_returns_above_mode,All_returns_above_mean_div_Total_first_returns_x_100
104.327731,56.22,28.71,74.25,52.35,68.38,35.98,49.65,39.64,37.91
10.674936,20,11.89,20.84,20.77,20.84,12.39,20.77,19.93,12.39
211.1018015,46.43,26.11,54.24,18.38,45.9,28.79,18.38,15.74,30.5
45.615583,24.6,14.36,26.33,20.43,26.3,15.38,20.43,19.09,15.38
86.5608815,50.15,29.45,61.12,25.83,59.98,35.89,25.83,21.2,35.89
23.376133,28.66,13.38,32.73,27.92,31.34,14.81,26.92,24.45,15.28
63.1847485,38.89,19.12,44.63,29.68,43.55,21.95,29.52,25.86,21.95
65.977035,25.52,9.17,26.81,19.33,25.78,9.42,18.79,18.41,9.64
25.303552,13.52,9.51,13.82,16.46,13.73,9.67,16.37,16.12,9.71
61.726829,21.58,13.97,22.64,8.8,22.64,14.66,8.8,8.39,14.66
86.48675,39.48,17.15,42.79,27.73,42.13,18.33,27.33,25.58,18.6
61.875092,35.73,18.11,38.26,46.62,37.72,19.29,46.08,43.54,19.39
57.0565445,34.82,19.39,37.65,26.67,37.43,20.96,26.67,24.67,20.96
131.5339915,39.97,19.49,45.71,25.73,45.21,22.29,25.73,22.5,22.29
169.7858455,54.13,27.93,66.9,23.67,63.31,33.63,23.4,19.15,34.52
292.07811,54.24,30.38,63.01,54.33,55.27,34.09,48.12,46.77,35.28
130.323177,57.47,26.99,67.16,65.47,62.5,28.86,60.81,56.02,31.54
79.6419415,32.52,16.95,36.06,22.22,33.8,18.79,21.67,20.04,18.79
268.0842145,61.69,31.67,89.37,24.19,73.79,40.22,22.56,16.7,45.88
153.402784,56.04,34.65,65.25,17.48,59.27,40.04,17.48,15.01,40.34
115.1756405,61.27,33.21,98.42,40.43,80.99,48.27,37.39,25.17,53.35
106.798781,47.71,22.82,61.17,52.6,56.5,28.13,49.7,41.03,29.25
204.4299665,53.05,26.88,67.9,26.67,63.33,33.62,26.07,20.83,34.41
87.376328,51.07,24.9,60.4,40.55,56.99,28.93,38.72,34.29,29.45
140.306219,51.61,19.57,66.09,40.3,61.31,23.53,37.96,31.47,25.06
77.986338,35.01,19.36,43.39,8.25,40.66,23.99,8.25,6.66,23.99
111.2713815,36.68,19.03,41.81,28.54,39.12,20.93,26.49,25.03,21.7
133.3625685,39.7,21,47.67,35.91,43.42,24.73,34.61,29.91,25.22
179.4723615,44.37,23.59,52.2,21.27,44.36,26.41,20.74,18.08,27.76
17.2726395,12.29,6.55,12.49,7.24,12.41,6.65,7.24,7.13,6.65
22.535976,17.67,7.96,18.08,11.13,18.08,8.15,11.13,10.88,8.15
79.5430995,24.62,14.15,26.88,3.9,22.82,14.38,3.9,3.57,15.45
72.1299495,42.53,19.39,51.28,24.95,48.92,23.17,24.62,20.7,23.38
175.098603,50.81,25.81,61.25,42.54,52.25,29.56,39.09,35.29,31.12
31.827124,15.82,8.67,16.58,4.33,15.31,8.89,4.33,4.13,9.09
145.050635,31.48,17.32,34.78,19.9,30.38,17.88,18.55,18.01,19.13
6.4494405,12.97,4.95,13.58,7.46,12.79,4.89,7.01,7.12,5.18
224.8408395,39.11,23.08,45.52,9.06,36.45,25.19,9.06,7.79,26.87
82.631912,27.94,15.89,31.02,4.31,26.19,17.14,4.31,3.88,17.64
41.1924035,30.28,16.13,32.86,26.71,32.69,17.47,26.59,24.61,17.51
75.7871035,44.54,21.14,51.5,33.13,50,24.11,32.66,28.65,24.44
111.987986,25.92,14.67,28.11,29.43,25.14,14.59,26.4,27.13,15.91
84.608752,35.98,18.92,41.06,20.71,39.55,21.48,20.64,18.15,21.59
116.534718,52.18,27.89,60.63,18.2,56.32,32.13,18.2,15.66,32.41
47.9630805,19.13,10.4,20.94,2.44,17.72,9.91,2.44,2.23,11.38
