STBIOMSha,Elev_mode,Elev_P01,Elev_P10,Elev_P30,Elev_P60,Elev_stddev,Elev_kurtosis,Elev_MAD_median,Elev_MAD_mode,Elev_L3,Elev_L4,Elev_LCV,Elev_Lskewness,Elev_Lkurtosis,Elev_ave,Elev_variance,Elev_CV,Elev_IQ,Elev_skewness,Elev_AAD,Elev_L2,Elev_P05,Elev_P20,Elev_P25,Elev_P40,Elev_P50,Elev_P70,Elev_P75,Elev_P80,Elev_P90,Elev_P95,Elev_P99
104.327731,8.46,2.44,4.48,8.32,11.52,4.33,3.14,2.73,3.27,0.12,0.32,0.23,0.05,0.13,10.41,18.77,0.41,5.43,0.37,3.45,2.42,3.06,6.93,7.65,8.99,10.14,12.46,13.08,13.8,15.5,18.36,22.68
10.674936,3.03,2.1,2.67,3.72,5.45,1.61,2.08,1.3,1.85,0.02,0.03,0.19,0.02,0.03,4.86,2.61,0.33,2.58,0.12,1.37,0.93,2.39,3.21,3.49,4.36,4.89,5.9,6.08,6.33,6.93,7.47,8.44
211.1018015,18.29,3.27,5.7,11.47,17.34,5.61,1.99,4.27,3.61,-0.4,0.05,0.22,-0.12,0.01,14.46,31.48,0.38,9.27,-0.44,4.76,3.19,4.48,8.6,9.88,14,15.17,18.61,19.16,19.71,21.15,21.74,22.6
45.615583,3.75,2.09,2.7,3.62,4.63,1.17,2.48,0.86,0.95,0.02,0.05,0.15,0.03,0.08,4.29,1.38,0.27,1.74,0.2,0.97,0.67,2.47,3.22,3.39,3.9,4.27,4.98,5.13,5.29,5.83,6.26,7.11
86.5608815,7.98,2.22,3.31,5.71,7.94,2.41,2.1,1.83,1.78,-0.08,0.07,0.19,-0.06,0.05,6.99,5.83,0.34,3.7,-0.23,2.02,1.38,2.87,4.54,5.16,6.59,7.23,8.53,8.86,9.2,10.07,10.6,11.22
23.376133,3.91,2.23,3.43,4.3,6.77,2.67,2.81,2.06,2.28,0.2,0.12,0.23,0.13,0.08,6.46,7.17,0.41,4.13,0.63,2.16,1.5,3.04,3.93,4.13,5.65,6.2,7.7,8.27,8.61,10.52,11.41,13.36
63.1847485,6.25,2.62,4.3,5.86,8.13,2.52,2.07,2.02,1.89,0.04,0.06,0.19,0.03,0.04,7.52,6.38,0.33,4.13,0.1,2.13,1.45,3.5,5.27,5.58,6.47,7.41,9.03,9.71,10.09,11.12,11.74,12.42
65.977035,4.59,2.17,3.03,4.29,5.71,3.05,3.68,1.28,1.33,0.45,0.26,0.26,0.28,0.16,6.11,9.34,0.49,2.85,1.2,2.33,1.61,2.66,3.83,4.05,4.8,5.24,6.33,6.9,8.51,11.24,12.77,14.9
25.303552,2.75,2.08,2.38,2.81,3.48,1,9.91,0.58,0.56,0.1,0.09,0.14,0.21,0.17,3.4,1.01,0.29,1.17,2.06,0.71,0.5,2.24,2.61,2.72,3.04,3.24,3.7,3.89,4.02,4.5,4.74,7.93
61.726829,5.09,2.07,2.45,3.32,4.74,1.27,2.02,1.05,1.09,0.005304,0.01,0.17,0.007244,0.02,4.22,1.61,0.3,2.12,0.06,1.09,0.73,2.26,2.9,3.1,3.8,4.26,5.1,5.23,5.4,5.81,6.22,6.93
86.48675,4.56,2.09,2.66,3.68,5.27,2.66,2.84,1.49,1.42,0.34,0.13,0.26,0.23,0.09,5.51,7.09,0.48,3.3,0.91,2.15,1.45,2.39,3.27,3.45,4.3,4.74,6.27,6.76,7.83,9.92,10.83,12.1
61.875092,2.72,2.03,2.28,2.78,3.55,1.89,5.37,0.68,0.63,0.36,0.2,0.23,0.38,0.22,3.87,3.58,0.48,1.5,1.74,1.35,0.92,2.14,2.55,2.65,2.99,3.24,3.88,4.15,4.48,7.29,8.31,9.87
57.0565445,4.43,2.12,2.8,4.09,5.52,1.66,2.15,1.24,1.29,0.02,0.05,0.18,0.02,0.05,5.08,2.75,0.32,2.5,0.1,1.38,0.95,2.37,3.65,3.85,4.49,5.03,6.04,6.36,6.65,7.4,7.73,8.37
131.5339915,5.95,2.31,3.33,4.63,7.22,2.4,1.91,1.99,2.01,0.06,0.01,0.21,0.04,0.01,6.41,5.8,0.37,4.07,0.17,2.08,1.38,2.9,4.03,4.33,5.53,6.09,8.03,8.4,8.83,9.85,10.39,11.11
169.7858455,11.37,2.26,3.84,5.82,10.69,4.65,2.53,3.41,4.17,0.29,0.16,0.28,0.11,0.06,9.37,21.67,0.49,6.87,0.51,3.88,2.63,3.01,4.8,5.38,7.28,9.12,11.65,12.25,12.77,16.21,18.23,20.87
292.07811,6.7,2.45,4.42,9.35,15.33,5.29,1.9,4.67,6.24,-0.23,0.02,0.24,-0.07,0.006647,12.51,28.03,0.42,9.34,-0.27,4.53,3.03,3.14,6.86,7.78,11.41,12.94,16.35,17.12,18.11,19.01,19.75,20.9
130.323177,3.11,2.22,3.1,4.16,9.34,5.4,1.73,2.92,2.77,0.57,-0.14,0.34,0.18,-0.04,8.62,29.21,0.62,9.43,0.51,4.86,3.01,2.81,3.52,3.8,4.9,5.89,12.56,13.23,14.89,17.01,17.97,18.84
79.6419415,7.84,2.1,4.23,6.82,10.7,3.54,1.96,2.57,3.22,-0.03,0.05,0.22,-0.01,0.02,9.05,12.6,0.39,5.17,-0.07,3.06,2.04,3.42,5.27,6.61,7.77,9.08,11.52,11.78,12.36,13.94,14.63,15.22
268.0842145,20.83,2.43,6.52,11.64,17.89,6.57,2.23,5.35,5.99,-0.11,0.21,0.24,-0.03,0.05,15.62,43.24,0.42,10.69,-0.09,5.53,3.76,4.11,9.53,10.32,13.89,15.72,20.35,21.01,21.64,23.29,25.34,29.57
153.402784,15.01,2.46,5.21,10.65,13.99,4.16,2.55,2.37,2.52,-0.39,0.22,0.19,-0.16,0.09,12.07,17.34,0.34,5.59,-0.65,3.38,2.32,3.95,8.03,9.49,12.1,13.01,14.75,15.08,15.38,16.57,17.82,18.85
115.1756405,14.3,2.45,4.31,8.03,14.25,5.51,2.02,4.46,4.64,-0.007938,0.09,0.26,-0.002506,0.02,12.02,30.39,0.45,8.66,0.02,4.74,3.16,3.33,6.41,7.31,10.28,12.52,15.42,15.98,16.92,19.37,20.46,23.95
106.798781,4.55,2.3,3.7,5.95,9.94,4.55,2.08,3.78,4.36,0.26,0.08,0.28,0.1,0.03,9.28,20.72,0.49,7.6,0.37,3.83,2.6,3.09,4.69,5.2,7.4,8.92,11.9,12.81,13.73,16.09,17.45,18.76
204.4299665,12.39,2.16,3.77,7.02,12.06,5.29,2.57,3.84,4.23,0.26,0.23,0.28,0.08,0.07,10.62,28.07,0.49,7.69,0.44,4.37,3,3.02,5.43,6.41,8.52,10.3,13.22,14.1,14.97,17.84,20.94,23.67
87.376328,5.93,2.15,3.07,5.05,9.5,4.12,2.03,3.22,2.96,0.27,0.02,0.28,0.11,0.01,8.12,17.04,0.5,7.1,0.4,3.59,2.35,2.67,4.09,4.45,6.01,7.22,10.59,11.56,12.11,14.19,15.48,17.14
140.306219,7.1,2.42,3.92,6.02,8.94,5.48,2.8,2.84,2.74,0.72,0.3,0.31,0.24,0.1,9.52,30.07,0.57,6.99,0.93,4.41,2.98,3.06,4.94,5.38,6.94,7.86,10.42,12.36,13.3,19.09,20.87,22.5
77.986338,10.27,2.46,4.53,6.77,8.74,2.36,2.4,1.77,2.27,-0.13,0.09,0.17,-0.09,0.06,7.85,5.57,0.3,3.53,-0.42,1.94,1.34,3.32,5.65,6.28,7.45,8,9.47,9.81,10.11,10.69,11.16,11.84
111.2713815,10.81,2.65,5.87,10.53,14.69,5.69,2.12,3.95,4.07,0.08,0.19,0.23,0.02,0.06,13.69,32.46,0.41,7.98,0.06,4.76,3.25,4.13,9.33,9.93,11.18,13.8,17.13,17.91,19.99,22.16,22.87,23.81
133.3625685,9.43,2.87,8.28,9.6,12.83,3.61,2.66,2.8,3.04,0.04,0.17,0.17,0.01,0.08,11.98,13.04,0.3,5.25,-0.05,2.97,2.04,6.93,8.94,9.41,10.38,12.27,13.9,14.66,15.52,16.82,18.04,19.42
179.4723615,17.48,5.48,9.22,12.41,17.55,4.91,2.1,4.03,3.93,-0.11,0.12,0.17,-0.04,0.04,15.81,24.14,0.31,7.93,-0.17,4.13,2.82,7.53,10.97,11.77,14.89,16.25,19.06,19.7,20.53,22.39,23.3,24.45
17.2726395,5.02,2.09,3.05,4.17,5.46,1.65,3.1,1.14,1.08,0.07,0.1,0.18,0.07,0.11,5.16,2.73,0.32,2.22,0.49,1.31,0.92,2.67,3.71,3.95,4.6,5.11,5.95,6.18,6.4,7.18,8.15,9.66
22.535976,4.35,2.24,3.01,3.77,5.08,1.97,3.47,1.16,1.11,0.24,0.13,0.21,0.22,0.12,5.04,3.89,0.39,2.46,1.01,1.56,1.07,2.67,3.35,3.57,4.19,4.48,5.67,6.03,6.45,8.08,9,10.66
79.5430995,20.12,2.24,3.44,8.02,15.01,6.23,1.65,5.51,6.79,-0.16,-0.13,0.28,-0.04,-0.03,12.4,38.83,0.5,10.95,-0.14,5.5,3.58,2.88,4.94,7.03,10.38,13.33,17.1,17.99,19.26,20.43,21.04,21.77
72.1299495,7.29,2.59,4.1,5.74,7.86,2.7,2.46,1.89,1.95,0.14,0.13,0.2,0.09,0.08,7.44,7.33,0.36,3.92,0.41,2.21,1.53,3.48,4.99,5.34,6.47,7.12,8.71,9.27,9.89,11.63,12.38,13.69
175.098603,10.31,2.82,6.32,10.04,15.1,5.23,1.96,4.46,4.35,-0.03,0.07,0.22,-0.01,0.02,13.28,27.38,0.39,8.85,-0.05,4.49,3.01,5.04,8.14,8.96,11.4,13.27,16.87,17.82,18.57,20.27,21.32,23
31.827124,13.42,2.16,2.88,6.77,11.12,4.2,1.72,3.93,4.74,-0.1,-0.05,0.26,-0.04,-0.02,9.15,17.69,0.45,7.64,-0.14,3.71,2.41,2.47,4.8,5.67,7.57,8.68,12.62,13.31,13.58,14.33,14.87,16.15
145.050635,14.46,2.99,6.28,12.14,16.46,5.58,2.22,4.05,4.29,-0.23,0.22,0.21,-0.07,0.06,14.65,31.2,0.38,8.57,-0.29,4.57,3.19,4.5,8.86,10.36,13.84,15.07,18.06,18.94,19.9,22.04,23.07,24.15
6.4494405,6.48,2.09,2.91,4.64,6.92,4.68,3.47,2.35,2.4,0.69,0.33,0.32,0.27,0.13,7.63,21.92,0.61,5.7,1.14,3.67,2.49,2.4,3.88,4.2,5.46,6.37,8.22,9.9,12.24,14.77,18.12,20.19
224.8408395,27.97,3.96,7.6,16.32,24.84,7.61,2.2,5.34,4.79,-0.75,0.1,0.2,-0.17,0.02,20.73,57.93,0.36,12.02,-0.61,6.55,4.27,6.21,13.1,15.25,20.2,23.18,26.19,27.27,27.95,29.17,29.96,30.9
82.631912,18.64,2.64,5.21,11,15.7,4.94,2.19,3.72,4.37,-0.44,0.08,0.2,-0.15,0.02,13.32,24.47,0.37,7.91,-0.56,4.17,2.79,4.08,8.53,9.71,12.73,14.27,17.22,17.63,18.11,18.85,19.4,20.22
41.1924035,3.95,2.21,2.76,3.98,5.8,2.02,3.01,1.53,1.45,0.11,0.07,0.21,0.1,0.06,5.3,4.1,0.38,3.04,0.56,1.67,1.14,2.51,3.34,3.63,4.48,5.11,6.38,6.68,7.02,7.98,8.77,10.35
75.7871035,7.68,2.84,4.44,7.08,9.52,3.26,2.25,2.36,2.42,0.08,0.13,0.2,0.04,0.07,8.97,10.65,0.36,4.65,0.19,2.68,1.86,3.93,5.93,6.64,7.89,8.73,10.81,11.28,11.83,13.79,14.6,15.82
111.987986,2.68,2.17,2.98,6.18,13.87,6.72,1.57,6.57,9.11,0.16,-0.21,0.33,0.04,-0.05,11.61,45.17,0.57,13.14,0.12,6.01,3.85,2.61,4.27,5.04,7.88,11.8,16.43,18.18,18.91,21.07,21.89,22.63
84.608752,8.68,2.3,4.4,6.71,9.41,3.01,2.21,2.25,2.25,-0.02,0.11,0.2,-0.01,0.06,8.49,9.09,0.35,4.52,-0.05,2.5,1.73,3.44,5.75,6.22,7.63,8.57,10.31,10.74,11.28,12.59,13.26,14.4
116.534718,12.18,2.86,6.12,8.84,11.4,3.05,2.62,2.08,2.26,-0.11,0.17,0.16,-0.06,0.09,10.29,9.33,0.29,4.22,-0.32,2.48,1.73,4.82,7.56,8.27,9.72,10.52,12.16,12.49,12.97,14.16,14.83,16.17
47.9630805,20.06,2.47,3.98,7.59,15.27,5.98,1.63,5.15,7.53,-0.04,-0.11,0.28,-0.01,-0.03,12.16,35.82,0.49,10.34,-0.04,5.37,3.44,2.95,5.97,6.92,9.41,12.52,16.5,17.26,18.28,20.12,20.93,21.72
50.9283405,5.26,2.36,3.47,4.91,6.19,1.7,3.38,1.09,1.19,0.03,0.12,0.16,0.03,0.13,5.76,2.9,0.29,2.19,0.35,1.34,0.95,3,4.44,4.7,5.29,5.68,6.64,6.89,7.14,7.82,8.53,10.61
35.237173,3.69,2.3,3.38,4.95,7.52,5.5,3.12,2.49,2.87,0.9,0.33,0.34,0.31,0.11,8.52,30.26,0.64,5.9,1.14,4.38,2.89,2.88,4.14,4.58,5.72,6.57,9.2,10.49,13.44,18.55,20.92,21.95
172.924079,26.28,2.56,9.33,16.35,23.89,7.12,2.77,4.81,4.15,-0.8,0.25,0.19,-0.2,0.06,20.21,50.73,0.35,10.74,-0.8,5.89,3.94,5.17,14.09,15.48,19.69,22.12,25.48,26.21,26.69,27.82,28.53,29.64
32.271913,16.39,2.65,5.84,9.68,13.02,4.02,2.49,2.98,4.44,-0.21,0.19,0.19,-0.09,0.08,11.66,16.23,0.34,5.99,-0.39,3.27,2.28,3.98,8.37,9.08,10.95,11.94,14.31,15.07,15.62,16.49,16.89,19.55
138.87301,4.39,2.23,3.62,5.37,7.68,4.07,5.83,2.18,2.59,0.52,0.42,0.27,0.24,0.2,7.68,16.62,0.53,4.37,1.56,2.92,2.09,2.93,4.45,4.77,6.23,6.99,8.57,9.14,9.79,12.19,17.3,21.98
54.709047,5.68,2.61,4.49,6.46,9.33,3.99,2.06,2.87,2.86,0.24,0.09,0.24,0.1,0.03,9.2,15.99,0.43,6.67,0.38,3.4,2.28,3.43,5.71,5.97,7.48,8.3,11.58,12.65,13.13,15.25,16.47,17.22
34.2734635,3.62,2.13,2.48,3.46,4.85,1.66,2.47,1.27,1.17,0.1,0.05,0.2,0.11,0.06,4.58,2.78,0.36,2.54,0.48,1.38,0.94,2.31,2.96,3.19,3.95,4.39,5.45,5.74,6.09,6.85,7.65,8.72
2.372208,2.02,2.09,2.43,3.57,7.38,3.47,1.68,3.27,4.53,0.2,-0.08,0.3,0.1,-0.04,6.6,12.09,0.52,6.51,0.29,3.06,1.98,2.19,3,3.23,4.46,6.55,9.32,9.74,10.24,11.82,12.36,12.86
199.314893,12.76,2.35,4.96,8.14,12.69,5.02,2.23,3.82,4.17,0.11,0.19,0.25,0.03,0.06,11.31,25.2,0.44,7.55,0.16,4.15,2.87,2.99,6.62,7.25,9.68,11.17,13.88,14.8,15.86,18.38,20.13,21.92
45.46732,4.92,2.43,4.18,5.24,8.74,3.27,2.12,2.62,2.79,0.16,0.06,0.23,0.08,0.03,7.88,10.73,0.41,5.14,0.33,2.78,1.87,3.24,4.75,5.02,6.45,7.72,9.72,10.17,10.85,12.79,13.52,14.96
113.1493795,7.11,2.12,3.93,6.02,8.49,2.9,2.43,2.11,2.08,0.04,0.14,0.21,0.02,0.08,7.81,8.42,0.37,4.24,0.13,2.37,1.65,3.05,5.33,5.68,7.02,7.67,9.48,9.93,10.37,11.63,12.81,14.29
