"ID","STBIOMSha","logSTBIOMSha","TCUmha","Elev_stddev","Elev_kurtosis","Elev_MAD_median","Elev_MAD_mode","Elev_L3","Elev_L4","Elev_LCV","Elev_Lskewness","Elev_Lkurtosis","Elev_mode","Elev_P01","Elev_P10","Elev_P30","Elev_P60","Elev_P90","Pct_all_returns_above_ht","all_returns_above_ht_div_Total_first_returns_x_100","pct_all_returns_above_mean","All_returns_above_mode_div_Total_first_returns_x_100","mode_pctAllOver3m","mode_pctAlloverModeDiv1st","P01_pctAllOver3m","P10_pctAllOver3m","P30_pctAllOver3m","P60_pctAllOver3m","P90_pctAllOver3m","logmode","logP01","logP10","logP30","logP60","logP90","log_Pct_all_returns_above_ht","log_pct_all_returns_above_mean","log_all_returns_above_ht_div_Total_first_returns_x_100","logmode_pctAllOver3m","logmode_pctAlloverModeDiv1st","logP01_pctAllOver3m","logP10_pctAllOver3m","logP30_pctAllOver3m","logP60_pctAllOver3m","logP90_pctAllOver3m","elevation","aspect","slope","NDVI_Amp","R3ERUlabel","R3ERUcodeFull","R3ERUlabelName","Site","Forest","PlotSizeAcres","fpc","Stratum"
147,104.327731,4.65707673679548,150.959485512509,4.33,3.14,2.73,3.27,0.12,0.32,0.23,0.05,0.13,8.46,2.44,4.48,8.32,11.52,15.5,56.22,74.25,28.71,52.35,475.6212,442.881,137.1768,251.8656,467.7504,647.6544,871.41,2.24707238306379,1.23547147138531,1.70110510095992,2.2321626286975,2.52732736567195,2.80336038090653,4.04690348762196,3.39148368947452,4.32081590362899,9.09368506395984,8.93632368632203,4.99983380640664,6.88420816588623,9.03334672701532,10.2278499305003,11.3449289025519,2178.6667,38,5,0.061745609,"G","Ponderosa pine","G. Ponderosa pine","fourFri, P1","Coconino",0.05,97.18403149,"Coco1"
148,10.674936,2.45744432174122,12.5950011552,1.61,2.08,1.3,1.85,0.02,0.03,0.19,0.02,0.03,3.03,2.1,2.67,3.72,5.45,6.93,20,20.84,11.89,20.77,60.6,62.9331,42,53.4,74.4,109,138.6,1.39376637595859,1.1314021114911,1.30019166206648,1.55180879959746,1.86408013080768,2.07065303564676,3.04452243772342,2.5564518169511,3.0837431508767,4.24335300455039,4.29354314155355,3.44457911452231,3.95846268850231,4.72451670943113,5.6752337839584,6.30414962776667,2209.598,349,6,0.073562148,"G","Ponderosa pine","G. Ponderosa pine","fourFri, P1","Coconino",0.05,97.18403149,"Coco1"
149,211.1018015,5.35706635516964,270.0928025504,5.61,1.99,4.27,3.61,-0.4,0.05,0.22,-0.12,0.01,18.29,3.27,5.7,11.47,17.34,21.15,46.43,54.24,26.11,18.38,849.2047,336.1702,151.8261,264.651,532.5521,805.0962,981.9945,2.95958682691764,1.45161382724053,1.90210752639692,2.52332575969195,2.90908446682832,3.09783749649114,3.85925493988949,3.29990266351057,4.01168732854109,11.4218000818138,8.77293041028795,5.60214783358992,7.34071786744829,9.73815740304154,11.226898599163,11.9553446613083,2170.4595,339,1,0.057124814,"G","Ponderosa pine","G. Ponderosa pine","fourFri, P1","Coconino",0.05,97.18403149,"Coco1"
150,45.615583,3.8419348843743,47.5734185300496,1.17,2.48,0.86,0.95,0.02,0.05,0.15,0.03,0.08,3.75,2.09,2.7,3.62,4.63,5.83,24.6,26.33,14.36,20.43,92.25,76.6125,51.414,66.42,89.052,113.898,143.418,1.55814461804655,1.12817109090965,1.30833281965018,1.53039470509365,1.7281094421516,1.9213246735827,3.24259235148552,2.73176672771953,3.30798499993998,5.05242782098606,4.77538886338296,3.65819895055072,4.24238999419515,4.96244616549059,5.60355445965068,6.23007269127967,2177.4978,278,4,0.057413191,"G","Ponderosa pine","G. Ponderosa pine","fourFri, P1","Coconino",0.05,97.18403149,"Coco1"
151,86.5608815,4.47233433998635,102.511414124459,2.41,2.1,1.83,1.78,-0.08,0.07,0.19,-0.06,0.05,7.98,2.22,3.31,5.71,7.94,10.07,50.15,61.12,29.45,25.83,400.197,206.1234,111.333,165.9965,286.3565,398.191,505.0105,2.19499988231411,1.16938135955632,1.46093790411566,1.90359895098359,2.19053558918542,2.40423874672055,3.93476249239764,3.41608599415591,4.12906799828049,8.63680320774678,7.22049747131021,4.60123791289115,5.7484436688363,7.49020975289772,8.61923727458896,9.4601084433651,2193.0674,12,9,0.09948457,"G","Ponderosa pine","G. Ponderosa pine","fourFri, P1","Coconino",0.05,97.18403149,"Coco1"
152,23.376133,3.19360449785494,27.5473666932816,2.67,2.81,2.06,2.28,0.2,0.12,0.23,0.13,0.08,3.91,2.23,3.43,4.3,6.77,10.52,28.66,32.73,13.38,27.92,112.0606,109.1672,63.9118,98.3038,123.238,194.0282,301.5032,1.59127394180643,1.17248213723457,1.48839958405704,1.66770682055808,2.05027016437956,2.44408465526775,3.38979933670979,2.6658383522929,3.51838764907356,5.394099352459,5.35389432144593,3.9744791711018,5.04537592279569,5.65319147415415,6.95000444328968,8.28495654328917,2164.8052,319,3,0.028155317,"G","Ponderosa pine","G. Ponderosa pine","fourFri, P1","Coconino",0.05,97.18403149,"Coco1"
153,63.1847485,4.16176562016823,77.10939596128,2.52,2.07,2.02,1.89,0.04,0.06,0.19,0.03,0.04,6.25,2.62,4.3,5.86,8.13,11.12,38.89,44.63,19.12,29.68,243.0625,185.5,101.8918,167.227,227.8954,316.1757,432.4568,1.98100146886658,1.28647402583768,1.66770682055808,1.92570744173779,2.21156569460688,2.49485698064117,3.68612566591732,3.00171434523154,3.82056539493931,7.30222035860901,6.78217837327239,4.74210492517625,6.14737691448449,7.09839962603766,8.15210906875267,9.19635634913439,2171.8113,328,2,0.037384452,"G","Ponderosa pine","G. Ponderosa pine","fourFri, P1","Coconino",0.05,97.18403149,"Coco1"
154,65.977035,4.20434979944089,83.0059556687728,3.05,3.68,1.28,1.33,0.45,0.26,0.26,0.28,0.16,4.59,2.17,3.03,4.29,5.71,11.24,25.52,26.81,9.17,19.33,117.1368,88.7247,55.3784,77.3256,109.4808,145.7192,286.8448,1.72097928716701,1.15373158788919,1.39376637595859,1.66581824587021,1.90359895098359,2.50470927708418,3.27789916531766,2.31944221006047,3.32539566824587,5.64119656893372,5.18375762809376,3.78181580894259,4.56862564040249,5.46038423770889,6.23980541252869,8.21018444871764,2184.7842,359,4,0.038030643,"A","Montane, subalpine grassland","A. herbaceous and grasslands","fourFri, P1","Coconino",0.0666667,45.01674809,"Coco2"
155,25.303552,3.26970398709856,25.9582973808672,1,9.91,0.58,0.56,0.1,0.09,0.14,0.21,0.17,2.75,2.08,2.38,2.81,3.48,4.5,13.52,13.82,9.51,16.46,37.18,45.265,28.1216,32.1776,37.9912,47.0496,60.84,1.32175583998232,1.12492959698548,1.21787570949493,1.33762918913861,1.49962304642689,1.70474809223843,2.67552700939665,2.35232718488886,2.69597761986794,3.53639344970045,3.78010611534507,3.00977952040435,3.25845935484179,3.57886302409769,4.01228196462884,4.56109956500132,2206.654,313,9,0.064566395,"G","Ponderosa pine","G. Ponderosa pine","fourFri, P1","Coconino",0.0666667,45.01674809,"Coco2"
156,61.726829,4.13878925085487,58.5345681465056,1.27,2.02,1.05,1.09,0.005304,0.01,0.17,0.007244,0.02,5.09,2.07,2.45,3.32,4.74,5.81,21.58,22.64,13.97,8.8,109.8422,44.792,44.6706,52.871,71.6456,102.2892,125.3798,1.80664808172181,1.12167756159911,1.23837423104327,1.46325540225602,1.74745921033147,1.91839212016142,3.11706455872152,2.70604819843154,3.1629401925379,5.63143870561725,4.12346175883813,3.49634137357374,3.86009242601898,4.56106155473003,5.44694317233573,5.97975208748579,2212.6897,354,6,0.062432174,"G","Ponderosa pine","G. Ponderosa pine","fourFri, P1","Coconino",0.0666667,45.01674809,"Coco2"
157,86.48675,4.47148735332568,105.775618590515,2.66,2.84,1.49,1.42,0.34,0.13,0.26,0.23,0.09,4.56,2.09,2.66,3.68,5.27,9.92,39.48,42.79,17.15,27.73,180.0288,126.4488,82.5132,105.0168,145.2864,208.0596,391.6416,1.71559810826249,1.12817109090965,1.29746314741327,1.54329810992956,1.83577635464483,2.39059597031676,3.70080802497921,2.89867056071086,3.77940548081331,6.34909924669698,5.76087872495911,4.175144626788,4.80166202806183,5.71145003016255,6.79385586533667,8.84713675143122,2189.2288,321,3,0.041402323,"G","Ponderosa pine","G. Ponderosa pine","fourFri, P1","Coconino",0.0666667,45.01674809,"Coco2"
158,61.875092,4.14115009163951,76.8812864959136,1.89,5.37,0.68,0.63,0.36,0.2,0.23,0.38,0.22,2.72,2.03,2.28,2.78,3.55,7.29,35.73,38.26,18.11,46.62,97.1856,126.8064,72.5319,81.4644,99.3294,126.8415,260.4717,1.31372366828506,1.10856261952128,1.18784342239605,1.3297240096315,1.51512723296286,2.1150499691472,3.60359385983158,2.95021175825218,3.67020618884832,4.73412654454744,5.07524669386832,3.99480944894568,4.28050526338774,4.79178527637868,5.45990319356856,7.62178108205583,2184.08,187,3,0.034036311,"G","Ponderosa pine","G. Ponderosa pine","fourFri, P1","Coconino",0.0333333,102.5904468,"Coco3"
