"ID","PLOT_ID","X_albers","Y_albers","Site","Forest","fpcAcres","fpcStrataHa","fpc04StrataHaPlot","ForestHaSize","ForestHaSmplSize","dbhThreshcm","PlotSizeAcres","PlotSize","Elev_Class","CC_Class","Stratum","DOM_TYPE","Dom_Type_Label","Secondary_Label","STBIOMSha","logSTBIOMSha","Elev_stddev","Elev_kurtosis","Elev_skewness","Elev_MAD_median","Elev_MAD_mode","Elev_L2","Elev_L3","Elev_L4","Elev_LCV","Elev_Lskewness","Elev_Lkurtosis","Elev_mode","Elev_P01","Elev_P05","Elev_P10","Elev_P30","Elev_P60","Elev_P90","Pct_all_returns_above_ht","all_returns_above_ht_div_Total_first_returns_x_100","pct_all_returns_above_mean","All_returns_above_mode_div_Total_first_returns_x_100","mode_pctAllOver3m","mode_pctAlloverModeDiv1st","P01_pctAllOver3m","P10_pctAllOver3m","P30_pctAllOver3m","P60_pctAllOver3m","P90_pctAllOver3m","logmode","logP01","logP10","logP30","logP60","logP90","logmode_pctAllOver3m","logmode_pctAlloverModeDiv1st","logP01_pctAllOver3m","logP10_pctAllOver3m","logP30_pctAllOver3m","logP60_pctAllOver3m","logP90_pctAllOver3m","R3ERUCODE","elevation","aspect","slope","NDVI_Amp","R3ERUcodeFull","R3ERUlabel","R3ERUlabelName"
147,"0304070005950006_0001",-1382202.208,-200243.8288,"fourFri, P1","Coconino",97.18403149,39.3290169675621,983.225424189053,113600,7500,12.7,0.05,"1/20 Acre",1,999,"Coco1","PIPO","update","update",104.327731,4.64753720394471,4.33,3.14,0.37,2.73,3.27,2.42,0.12,0.32,0.23,0.05,0.13,8.46,2.44,3.06,4.48,8.32,11.52,15.5,56.22,74.25,28.71,52.35,475.6212,442.881,137.1768,251.8656,467.7504,647.6544,871.41,2.13534917361813,0.89199803930511,1.49962304642689,2.11866225483312,2.44408465526775,2.7408400239252,120.049330540811,111.785529238909,50.1481297697333,84.30880767012,119.111191966718,137.406439319153,154.090026145075,"PPF",2178.6667,38,5,0.061745609,"Ponderosa pine","G","G. Ponderosa pine"
148,"0304070005950006_0002",-1381724.867,-200316.1789,"fourFri, P1","Coconino",97.18403149,39.3290169675621,983.225424189053,113600,7500,12.7,0.05,"1/20 Acre",1,999,"Coco1","PIPO","update","update",10.674936,2.36789856378056,1.61,2.08,0.12,1.3,1.85,0.93,0.02,0.03,0.19,0.02,0.03,3.03,2.1,2.39,2.67,3.72,5.45,6.93,20,20.84,11.89,20.77,60.6,62.9331,42,53.4,74.4,109,138.6,1.10856261952128,0.741937344729377,0.982078472412158,1.31372366828506,1.69561560867515,1.93585981320181,22.1712523904256,23.0248456074569,14.8387468945875,19.6415694482432,26.2744733657011,33.9123121735031,38.7171962640362,"PPF",2209.598,349,6,0.073562148,"Ponderosa pine","G","G. Ponderosa pine"
149,"0304070005950006_0003",-1382249.163,-200065.6088,"fourFri, P1","Coconino",97.18403149,39.3290169675621,983.225424189053,113600,7500,12.7,0.05,"1/20 Acre",1,999,"Coco1","PIPO","update","update",211.1018015,5.35234048868807,5.61,1.99,-0.44,4.27,3.61,3.19,-0.4,0.05,0.22,-0.12,0.01,18.29,3.27,4.48,5.7,11.47,17.34,21.15,46.43,54.24,26.11,18.38,849.2047,336.1702,151.8261,264.651,532.5521,805.0962,981.9945,2.90635446240277,1.18478998490916,1.7404661748405,2.43973493114128,2.8530159713524,3.05163990549229,134.942037689361,53.418795018963,55.0097989993324,80.8098444978446,113.27689285289,132.465531549892,141.687640812007,"PPF",2170.4595,339,1,0.057124814,"Ponderosa pine","G","G. Ponderosa pine"
150,"0304070005950006_0004",-1382050.871,-200106.1297,"fourFri, P1","Coconino",97.18403149,39.3290169675621,983.225424189053,113600,7500,12.7,0.05,"1/20 Acre",1,999,"Coco1","TEIX","update","update",45.615583,3.82024939059924,1.17,2.48,0.2,0.86,0.95,0.67,0.02,0.05,0.15,0.03,0.08,3.75,2.09,2.47,2.7,3.62,4.63,5.83,24.6,26.33,14.36,20.43,92.25,76.6125,51.414,66.42,89.052,113.898,143.418,1.32175583998232,0.73716406597672,0.993251773010283,1.28647402583768,1.53255686809814,1.7630170003624,32.5151936635651,27.0034718108388,18.1342360230273,24.433993616053,31.6472610356069,37.7008989552143,43.3702182089151,"PPF",2177.4978,278,4,0.057413191,"Ponderosa pine","G","G. Ponderosa pine"
151,"0304070005950006_0005",-1381828.969,-200221.7925,"fourFri, P1","Coconino",97.18403149,39.3290169675621,983.225424189053,113600,7500,12.7,0.05,"1/20 Acre",1,999,"Coco1","PIPO_QUGA","update","update",86.5608815,4.46084799873393,2.41,2.1,-0.23,1.83,1.78,1.38,-0.08,0.07,0.19,-0.06,0.05,7.98,2.22,2.87,3.31,5.71,7.94,10.07,50.15,61.12,29.45,25.83,400.197,206.1234,111.333,165.9965,286.3565,398.191,505.0105,2.07693841146172,0.797507195884188,1.19694818938897,1.74221902366792,2.07191327525904,2.30956070673047,104.158461334805,53.6473191680562,39.994985873592,60.0269516978569,87.3722840369461,103.906450754241,115.824469442533,"PPF",2193.0674,12,9,0.09948457,"Ponderosa pine","G","G. Ponderosa pine"
152,"0304070005950006_0007",-1382140.477,-199893.6402,"fourFri, P1","Coconino",97.18403149,39.3290169675621,983.225424189053,113600,7500,12.7,0.05,"1/20 Acre",1,999,"Coco1","PIPO","update","update",23.376133,3.15171554458832,2.67,2.81,0.63,2.06,2.28,1.5,0.2,0.12,0.23,0.13,0.08,3.91,2.23,3.04,3.43,4.3,6.77,10.52,28.66,32.73,13.38,27.92,112.0606,109.1672,63.9118,98.3038,123.238,194.0282,301.5032,1.36353737399727,0.802001585472027,1.23256026117785,1.45861502269952,1.91250108692418,2.35327820730956,39.0789811387619,38.0699634820039,22.9853654396283,35.3251770853571,41.8039065505682,54.8122811512471,67.4449534214921,"PPF",2164.8052,319,3,0.028155317,"Ponderosa pine","G","G. Ponderosa pine"
153,"0304070005950006_0008",-1381970.573,-199921.1646,"fourFri, P1","Coconino",97.18403149,39.3290169675621,983.225424189053,113600,7500,12.7,0.05,"1/20 Acre",1,999,"Coco1","PIPO","update","update",63.1847485,4.14606295082763,2.52,2.07,0.1,2.02,1.89,1.45,0.04,0.06,0.19,0.03,0.04,6.25,2.62,3.5,4.3,5.86,8.13,11.12,38.89,44.63,19.12,29.68,243.0625,185.5,101.8918,167.227,227.8954,316.1757,432.4568,1.83258146374831,0.963174317773006,1.45861502269952,1.76814960358892,2.09556092355972,2.40874528882244,71.2690931251718,54.3910178440498,37.4578492181922,56.7255382327842,68.7633380835731,81.4963643172375,93.6761042823045,"PPF",2171.8113,328,2,0.037384452,"Ponderosa pine","G","G. Ponderosa pine"
154,"0304070005950010_0001",-1381676.16,-200138.945,"fourFri, P1","Coconino",45.01674809,18.2176477175497,455.441192938743,113600,7500,12.7,0.0666667,"1/15 Acre",2,999,"Coco2","JUDE2_PIPO","update","update",65.977035,4.18930672693074,3.05,3.68,1.2,1.28,1.33,1.61,0.45,0.26,0.26,0.28,0.16,4.59,2.17,2.66,3.03,4.29,5.71,11.24,25.52,26.81,9.17,19.33,117.1368,88.7247,55.3784,77.3256,109.4808,145.7192,286.8448,1.52388002407245,0.774727167552368,1.10856261952128,1.45628673293993,1.74221902366792,2.41947884446554,38.889418214329,29.4566008653205,19.7710373159364,28.290518050183,37.1644374246269,44.4614294840053,61.7451001107607,"MSG",2184.7842,359,4,0.038030643,"Montane, subalpine grassland","A","A. herbaceous and grasslands"
155,"0304070005950010_0002",-1381490.913,-200253.3121,"fourFri, P1","Coconino",45.01674809,18.2176477175497,455.441192938743,113600,7500,12.7,0.0666667,"1/15 Acre",2,999,"Coco2","JUDE2_QUGA","update","update",25.303552,3.2309447811359,1,9.91,2.06,0.58,0.56,0.5,0.1,0.09,0.14,0.21,0.17,2.75,2.08,2.24,2.38,2.81,3.48,4.5,13.52,13.82,9.51,16.46,37.18,45.265,28.1216,32.1776,37.9912,47.0496,60.84,1.01160091167848,0.732367893713227,0.867100487683383,1.03318448334565,1.24703229378638,1.50407739677627,13.676844325893,16.6509510062278,9.90161392300282,11.7231985934793,13.9686542148332,16.8598766119919,20.3351264044152,"PPF",2206.654,313,9,0.064566395,"Ponderosa pine","G","G. Ponderosa pine"
156,"0304070005950010_0003",-1381268.753,-200203.2427,"fourFri, P1","Coconino",45.01674809,18.2176477175497,455.441192938743,113600,7500,12.7,0.0666667,"1/15 Acre",2,999,"Coco2","JUDE2_QUGA","update","update",61.726829,4.12271866622197,1.27,2.02,0.06,1.05,1.09,0.73,0.005304,0.01,0.17,0.007244,0.02,5.09,2.07,2.26,2.45,3.32,4.74,5.81,21.58,22.64,13.97,8.8,109.8422,44.792,44.6706,52.871,71.6456,102.2892,125.3798,1.62727783056243,0.727548607277278,0.896088024556636,1.1999647829284,1.55603713570699,1.75958057086382,35.1166555835373,14.3200449089494,15.7004989450437,19.3375795699322,25.8952400155948,33.5792813885567,37.9717487192412,"PPF",2212.6897,354,6,0.062432174,"Ponderosa pine","G","G. Ponderosa pine"
