"ID","STBIOMSha","logSTBIOMSha","TCUmha","Elev_stddev","Elev_kurtosis","Elev_MAD_median","Elev_MAD_mode","Elev_L3","Elev_L4","Elev_LCV","Elev_Lskewness","Elev_Lkurtosis","Elev_mode","Elev_P01","Elev_P10","Elev_P30","Elev_P60","Elev_P90","Pct_all_returns_above_ht","all_returns_above_ht_div_Total_first_returns_x_100","pct_all_returns_above_mean","All_returns_above_mode_div_Total_first_returns_x_100","mode_pctAllOver3m","mode_pctAlloverModeDiv1st","P01_pctAllOver3m","P10_pctAllOver3m","P30_pctAllOver3m","P60_pctAllOver3m","P90_pctAllOver3m","logmode","logP01","logP10","logP30","logP60","logP90","log_Pct_all_returns_above_ht","log_pct_all_returns_above_mean","log_all_returns_above_ht_div_Total_first_returns_x_100","logmode_pctAllOver3m","logmode_pctAlloverModeDiv1st","logP01_pctAllOver3m","logP10_pctAllOver3m","logP30_pctAllOver3m","logP60_pctAllOver3m","logP90_pctAllOver3m","elevation","aspect","slope","NDVI_Amp","R3ERUlabel","R3ERUcodeFull","R3ERUlabelName","Site","Forest","PlotSizeAcres","fpc","Stratum"
164,79.6419415,4.39001888017411,85.740470364024,3.54,1.96,2.57,3.22,-0.03,0.05,0.22,-0.01,0.02,7.84,2.1,4.23,6.82,10.7,13.94,32.52,36.06,16.95,22.22,254.9568,174.2048,68.292,137.5596,221.7864,347.964,453.3288,2.17928687664955,1.1314021114911,1.65441127807683,2.05668455455722,2.45958884180371,2.70404217970467,3.51214227561388,2.88759011493429,3.61253822085721,7.65396557017143,6.85388768536408,3.97364518648671,5.81052779098603,7.22336877166252,8.638425951927,9.49698085438389,2187.7063,267,5,0.03604543,"G","Ponderosa pine","G. Ponderosa pine","fourFri, P1","Coconino",0.0333333,102.5904468,"Coco3"
165,268.0842145,5.59502439566296,428.50992819136,6.57,2.23,5.35,5.99,-0.11,0.21,0.24,-0.03,0.05,20.83,2.43,6.52,11.64,17.89,23.29,61.69,89.37,31.67,24.19,1285.0027,503.8777,149.9067,402.2188,718.0716,1103.6341,1436.7601,3.08328517056185,1.23256026117785,2.01756613796175,2.53686638871871,2.93863268151342,3.19006474301408,4.13820194528588,3.48645722561298,4.50391235391386,12.7592566906902,9.94805646732336,5.10058327048824,8.34909611685622,10.4980654247261,12.1606554791195,13.2011321251288,2119.5503,3,6,0.036334206,"G","Ponderosa pine","G. Ponderosa pine","fourFri, P1","Coconino",0.05,124.2792374,"Coco4"
166,153.402784,5.0395646685162,203.351191706709,4.16,2.55,2.37,2.52,-0.39,0.22,0.19,-0.16,0.09,15.01,2.46,5.21,10.65,13.99,16.57,56.04,65.25,34.65,17.48,841.1604,262.3748,137.8584,291.9684,596.826,783.9996,928.5828,2.77321352700862,1.24126858906963,1.82616089594539,2.45530618001171,2.70738331211451,2.86619290219901,4.04375277610604,3.57374914686031,4.19343546486633,11.2141898985759,8.08860157250153,5.01938330294356,7.38454319259545,9.92865118161267,10.9479887843462,11.5901755051227,2141.3252,329,4,0.051359131,"G","Ponderosa pine","G. Ponderosa pine","fourFri, P1","Coconino",0.05,124.2792374,"Coco4"
177,22.535976,3.15853014414408,25.1900023104,1.97,3.47,1.16,1.11,0.24,0.13,0.21,0.22,0.12,4.35,2.24,3.01,3.77,5.08,8.08,17.67,18.08,7.96,11.13,76.8645,48.4155,39.5808,53.1867,66.6159,89.7636,142.7736,1.67709656090792,1.17557332980424,1.38879124131848,1.56234630490025,1.80500469597808,2.2060741926132,2.92691795755363,2.19277022698684,2.94864066602014,4.90872404067281,4.18549923469018,3.44080668942514,4.06487802350825,4.5728594557301,5.28310065812686,6.45699817005521,2108.7664,124,1,0.040037443,"G","Ponderosa pine","G. Ponderosa pine","fourFri, P1","Coconino",0.1,171.7031999,"Coco5"
182,145.050635,4.98395337665039,208.65718580448,5.58,2.22,4.05,4.29,-0.23,0.22,0.21,-0.07,0.06,14.46,2.99,6.28,12.14,16.46,22.04,31.48,34.78,17.32,19.9,455.2008,287.754,94.1252,197.6944,382.1672,518.1608,693.8192,2.73825604315928,1.38379123090177,1.98513086220859,2.57566101305646,2.85991255041146,3.13723183582769,3.48062451529348,2.90799335924598,3.57738907808057,9.53084111297069,8.32361150424002,4.81645768232485,6.90949514506891,8.96490886512996,9.95428173455761,10.919526037941,2110.167,0,0,0.027999216,"G","Ponderosa pine","G. Ponderosa pine","fourFri, P1","Coconino",0.1,171.7031999,"Coco5"
183,6.4494405,2.00813892890013,6.50741726352,4.68,3.47,2.35,2.4,0.69,0.33,0.32,0.27,0.13,6.48,2.09,2.91,4.64,6.92,14.77,12.97,13.58,4.95,7.46,84.0456,48.3408,27.1073,37.7427,60.1808,89.7524,191.5669,2.01223279198639,1.12817109090965,1.36353737399727,1.72988406550997,2.06939120582633,2.75810940097495,2.63691217326887,1.78339121955754,2.67965072658051,5.30608114463971,4.29681962949544,2.97488808314969,3.59552830020048,4.56155235068708,5.45680286189901,7.27289225463815,2107.3618,27,3,0.035885969,"G","Ponderosa pine","G. Ponderosa pine","fourFri, P1","Coconino",0.1,171.7031999,"Coco5"
186,41.1924035,3.74224019298955,39.95414255344,2.02,3.01,1.53,1.45,0.11,0.07,0.21,0.1,0.06,3.95,2.21,2.76,3.98,5.8,7.98,30.28,32.86,16.13,26.71,119.606,105.5045,66.9188,83.5728,120.5144,175.624,241.6344,1.5993875765806,1.16627093714192,1.3244189574018,1.60542989103656,1.91692261218206,2.19499988231411,3.44297891567711,2.84083131233603,3.52223437670499,5.50665770416291,5.31283503015243,4.01544624654663,4.55994654585747,5.52746126543668,6.59992413672753,7.55733831472121,2109.8672,213,0,0.039283064,"G","Ponderosa pine","G. Ponderosa pine","fourFri, P1","Coconino",0.1,171.7031999,"Coco5"
189,84.608752,4.44978752091189,109.57651005024,3.01,2.21,2.25,2.25,-0.02,0.11,0.2,-0.01,0.06,8.68,2.3,4.4,6.71,9.41,12.59,35.98,41.06,18.92,20.71,312.3064,179.7628,82.754,158.312,241.4258,338.5718,452.9882,2.27006190128849,1.19392246847243,1.68639895357023,2.04251818757524,2.34276688262688,2.60933422816305,3.61037722595898,2.99172425215645,3.73909717027455,8.19577978992909,6.98673519154412,4.3105104897336,6.08853637585101,7.37426114802865,8.45827219876699,9.42068087227513,2099.3276,157,2,0.041292272,"G","Ponderosa pine","G. Ponderosa pine","fourFri, P1","Coconino",0.1,168.4446939,"Coco6"
196,138.87301,4.9407349395425,198.3712681944,4.07,5.83,2.18,2.59,0.52,0.42,0.27,0.24,0.2,4.39,2.23,3.62,5.37,7.68,12.19,36.18,41.49,15.34,35.54,158.8302,156.0206,80.6814,130.9716,194.2866,277.8624,441.0342,1.68454538492091,1.17248213723457,1.53039470509365,1.85159946958407,2.16102152867226,2.57945896672922,3.6157709822933,2.79361608943186,3.74926875412672,6.09093032115311,6.06168083301713,4.23942688906997,5.53355676613292,6.69495963295175,7.81375893548426,9.32673288191578,2110.7783,226,1,0.050808093,"G","Ponderosa pine","G. Ponderosa pine","fourFri, P1","Coconino",0.1,168.4446939,"Coco6"
198,34.2734635,3.56313093902976,41.007224594472,1.66,2.47,1.27,1.17,0.1,0.05,0.2,0.11,0.06,3.62,2.13,2.48,3.46,4.85,6.85,20.92,21.48,12.37,18.36,75.7304,66.4632,44.5596,51.8816,72.3832,101.462,143.302,1.53039470509365,1.14103300455206,1.24703229378638,1.49514876603197,1.76644166124377,2.06051353179432,3.08739946207981,2.59301339111385,3.11262602502549,4.72493978927592,4.53487948894625,3.52282468446935,3.85008683303224,4.61612149597641,5.45371103471937,6.36162836966995,2153.603,359,2,0.052911982,"G","Ponderosa pine","G. Ponderosa pine","fourFri, P1","Coconino",0.0666667,70.29506069,"Coco7"
204,98.842,4.60358893647176,104.72323627177,3.75,2.11,2.36,1.86,0.41,0.02,0.28,0.19,0.01,4.31,2.45,3.32,4.36,7.8,13.63,57.77,72.16,27.28,54.17,248.9887,233.4727,141.5365,191.7964,251.8772,450.606,787.4051,1.66959183525385,1.23837423104327,1.46325540225602,1.67896397508271,2.17475172148416,2.68307421503203,4.07363152062456,3.34215484102837,4.29264882352266,6.80130192666748,6.69576336477816,5.04468030190706,5.96076332935429,6.83948057089004,8.8591371621704,10.9298556945295,2189.0332,68,4,0.082367507,"G","Ponderosa pine","G. Ponderosa pine","fourFri, P1","Coconino",0.05,65.98607267,"Coco8"
210,146.829791,4.99606155112589,239.3050219488,3.52,2.53,2.3,2.21,-0.28,0.17,0.17,-0.14,0.08,13,3.33,5.55,9.89,12.72,15.19,64.96,87.02,36.74,31.72,844.48,412.36,216.3168,360.528,642.4544,826.2912,986.7424,2.63905732961526,1.4655675420144,1.87946504964716,2.38784493694487,2.61885462229774,2.78439376768954,4.1890484976914,3.6307205399404,4.47756406138295,11.0551391419463,9.20499636939221,6.13933351014069,7.87317024268793,10.0027982458289,10.9705090212085,11.6639605295212,2211.739,62,14,0.06989165,"G","Ponderosa pine","G. Ponderosa pine","fourFri, P1","Coconino",0.0333333,43.20029857,"Coco9"
215,71.363924,4.28170788791248,92.8384532372656,3.38,2.07,2.62,2.58,-0.009695,0.08,0.23,-0.004993,0.04,9.34,2.35,3.58,6.01,9.46,12.76,48.79,61.43,27.94,27.08,455.6986,252.9272,114.6565,174.6682,293.2279,461.5534,622.5604,2.33601986908028,1.20896034583698,1.52169899812609,1.9473377010465,2.34755845863678,2.6217658325052,3.90781416065409,3.36522472120334,4.13404592907365,9.12873152396125,7.79076076943897,4.724392359131,5.94651689313029,7.60983384372509,9.17382218762409,10.2453736461829,2212.6567,334,17,0.0248076,"G","Ponderosa pine","G. Ponderosa pine","fourFri, P1","Coconino",0.0333333,33.92160659,"Coco10"
227,161.063039,5.08798538917071,286.74619296672,4.52,2.92,3.16,3.32,-0.23,0.26,0.16,-0.09,0.1,15.2,3.12,9.51,13.89,17.32,21.67,53.76,75.1,28.24,47.14,817.152,716.528,167.7312,511.2576,746.7264,931.1232,1164.9792,2.78501124223834,1.41585316336144,2.35232718488886,2.70068984669592,2.90799335924598,3.12104246451944,4.00296000042025,3.37553763488158,4.33204826486764,11.1482886034008,10.789449462815,5.6676035794043,9.41627162901127,10.8107534298648,11.6405810985494,12.4934081450843,2100.5488,215,12,0.024346491,"G","Ponderosa pine","G. Ponderosa pine","fourFri, P1","Coconino",0.05,284.5532618,"Coco13"
231,166.449928,5.12068436926102,256.23830127968,8.2,1.64,7.94,9.41,0.42,-0.23,0.35,0.09,-0.04,4.47,2.22,3.89,5.94,15.56,25.65,46.35,56.34,24.93,50.24,207.1845,224.5728,102.897,180.3015,275.319,721.206,1188.8775,1.69927861643389,1.16938135955632,1.58719230348678,1.93730177451871,2.80699014895711,3.28278915061185,3.85756681963209,3.25540059955057,4.04899846045522,6.55508080806569,6.68924506976872,4.51096673212071,6.12270036630603,7.47327104499775,10.8281520616511,12.6635785032485,2089.0562,220,6,0.031617305,"G","Ponderosa pine","G. Ponderosa pine","fourFri, P1","Coconino",0.05,284.5532618,"Coco13"
233,72.9206855,4.30299270082939,106.07789861824,3.58,2.6,2.32,2.25,0.3,0.17,0.24,0.15,0.08,6.45,2.42,4.02,5.96,8.35,13.48,48.24,66.16,20.56,43.12,311.148,278.124,116.7408,193.9248,287.5104,402.804,650.2752,2.00821403239147,1.22964055107451,1.61342993370364,1.94017947434633,2.2353763433006,2.67276838695757,3.89670630131625,3.0708397460408,4.20707783220934,7.82542027441156,7.60493221641296,4.79154808372605,6.28706258939523,7.56030958336979,8.71060508275271,10.4149934154164,2097.501,265,6,0.028669406,"G","Ponderosa pine","G. Ponderosa pine","fourFri, P1","Coconino",0.05,284.5532618,"Coco13"
234,48.630264,3.90460080894849,62.975005776,3.28,2.13,2.4,2.56,0.01,0.11,0.22,0.005488,0.06,7.68,2.31,3.92,6.34,9.49,13.19,27.02,29.35,14.15,18.51,207.5136,142.1568,62.4162,105.9184,171.3068,256.4198,356.3938,2.16102152867226,1.19694818938897,1.59330853050422,1.99333884262642,2.35042242240821,2.65253749117195,3.33291854090886,2.71800053195538,3.41279651750551,7.20250872021498,6.42023754128329,3.98933081292179,5.31036754270576,6.64363598690342,7.83376647061223,8.84069138478287,2091.21,240,5,0.024894028,"G","Ponderosa pine","G. Ponderosa pine","fourFri, P1","Coconino",0.05,284.5532618,"Coco13"
235,170.848397,5.1466126753501,263.93524643008,4.66,3.67,2.03,1.74,0.67,0.42,0.22,0.27,0.17,8.38,3.26,6.64,8.18,10.14,19.29,63.16,95.22,21.81,63.92,529.2808,535.6496,205.9016,419.3824,516.6488,640.4424,1218.3564,2.23857976301813,1.44926916028128,2.03339760317843,2.2170272046324,2.41054223449914,3.01012815383772,4.16137996355826,3.1271990362963,4.56663723627131,9.31558097265066,9.34194199341112,6.03095964539742,8.4617400438141,9.22589258802084,10.0311821559557,12.5262869871229,2094.0137,65,4,0.019577143,"G","Ponderosa pine","G. Ponderosa pine","fourFri, P1","Coconino",0.05,284.5532618,"Coco13"
236,148.065316,5.00438457230883,212.85551952288,4.46,2.43,3.18,3.42,-0.18,0.2,0.17,-0.07,0.08,16.62,3.86,7.63,11.99,15.99,19.79,59.83,82.87,31.08,27.64,994.3746,459.3768,230.9438,456.5029,717.3617,956.6817,1184.0357,2.86903462050803,1.5810384379124,2.15524450509534,2.56417983068251,2.83262493568384,3.03447210186992,4.10808308833261,3.46823278299831,4.42926798099632,11.7862326043498,9.6250498024939,6.49503726879175,8.85392350260395,10.5338637978704,11.636658593872,12.4658635237089,2095.3303,250,12,0.022047819,"G","Ponderosa pine","G. Ponderosa pine","fourFri, P1","Coconino",0.05,284.5532618,"Coco13"
237,149.5232355,5.01411746097654,242.52374446624,6.59,2.85,2.59,2.67,0.84,0.48,0.31,0.24,0.13,8.75,2.34,3.91,7.56,10.18,22.66,47.83,60.65,16.88,36.5,418.5125,319.375,111.9222,187.0153,361.5948,486.9094,1083.8278,2.27726728500976,1.20597080698861,1.59127394180643,2.14710019015365,2.41412646772695,3.16378585855024,3.88834487807357,2.88368276974537,4.12147322961035,8.85480058367219,8.25359303638881,4.68923041046041,6.18742188123497,8.34866602709473,9.38695628580794,12.3018905384154,2080.553,325,5,0.015973995,"G","Ponderosa pine","G. Ponderosa pine","fourFri, P1","Coconino",0.05,284.5532618,"Coco13"
239,285.900485,5.65913541347038,496.66287888672,5.05,2.41,3.75,3.74,-0.27,0.21,0.18,-0.09,0.07,15.89,3.58,8.3,12.83,17.14,21.75,61.98,77.64,34.5,39.48,984.8622,627.3372,221.8884,514.434,795.2034,1062.3372,1348.065,2.82672173081971,1.52169899812609,2.23001440015921,2.62684014567667,2.89811944468699,3.12456514539696,4.14281721567288,3.56953269648137,4.36488047583891,11.7105914503565,10.4611544658007,6.30412080650895,9.238542048178,10.8825185783299,12.0063791285256,12.944502275842,2104.1646,298,8,0.027623928,"G","Ponderosa pine","G. Ponderosa pine","fourFri, P1","Coconino",0.05,284.5532618,"Coco13"
241,312.983193,5.74933945899801,538.22638269888,4.31,2.63,3,2.9,0.03,0.24,0.17,0.01,0.09,12.81,3.93,9.01,11.83,15.11,20.14,64.71,100.81,29.99,62.72,828.9351,803.4432,254.3103,583.0371,765.5193,977.7681,1303.2594,2.6253929674212,1.5953389880546,2.30358459332713,2.55178617862755,2.77944019718888,3.05116698044209,4.18525112090978,3.43366457179966,4.6231083311191,10.9879288597282,10.9071911057909,6.67689428798658,9.64108000133286,10.679865964423,11.6326552007865,12.7699000249782,2095.8726,232,5,0.018793673,"G","Ponderosa pine","G. Ponderosa pine","fourFri, P1","Coconino",0.05,284.5532618,"Coco13"
242,70.375504,4.26795472924722,91.8399495345728,3.47,1.94,2.87,2.81,0.07,0.04,0.23,0.03,0.02,7.4,2.73,3.98,6.16,9.74,13.7,35.82,42.32,18.44,25.87,265.068,191.438,97.7886,142.5636,220.6512,348.8868,490.734,2.12823170584927,1.31640823365572,1.60542989103656,1.96850998097255,2.37397508908072,2.68784749378469,3.60604117580493,2.96733279903229,3.76861442213279,7.67449116294603,7.00403272571603,4.74702229473118,5.78924629194587,7.09852804637001,8.56065192156025,9.69248873687168,2135.1675,172,0,0.041199645,"G","Ponderosa pine","G. Ponderosa pine","fourFri, P1","Coconino",0.0666667,385.5835605,"Coco14"
