"ID","PLOT_ID","X_albers","Y_albers","Site","Forest","fpcAcres","fpcStrataHa","fpc04StrataHaPlot","ForestHaSize","ForestHaSmplSize","dbhThreshcm","PlotSizeAcres","PlotSize","Elev_Class","CC_Class","Stratum","DOM_TYPE","Dom_Type_Label","Secondary_Label","STBIOMSha","logSTBIOMSha","Elev_stddev","Elev_kurtosis","Elev_skewness","Elev_MAD_median","Elev_MAD_mode","Elev_L2","Elev_L3","Elev_L4","Elev_LCV","Elev_Lskewness","Elev_Lkurtosis","Elev_mode","Elev_P01","Elev_P05","Elev_P10","Elev_P30","Elev_P60","Elev_P90","Pct_all_returns_above_ht","all_returns_above_ht_div_Total_first_returns_x_100","pct_all_returns_above_mean","All_returns_above_mode_div_Total_first_returns_x_100","mode_pctAllOver3m","mode_pctAlloverModeDiv1st","P01_pctAllOver3m","P10_pctAllOver3m","P30_pctAllOver3m","P60_pctAllOver3m","P90_pctAllOver3m","logmode","logP01","logP10","logP30","logP60","logP90","logmode_pctAllOver3m","logmode_pctAlloverModeDiv1st","logP01_pctAllOver3m","logP10_pctAllOver3m","logP30_pctAllOver3m","logP60_pctAllOver3m","logP90_pctAllOver3m","R3ERUCODE","elevation","aspect","slope","NDVI_Amp","R3ERUcodeFull","R3ERUlabel","R3ERUlabelName"
164,"0304070005950011_0008",-1381974.21,-200261.1438,"fourFri, P1","Coconino",102.5904468,41.5169175537048,1037.92293884262,113600,7500,12.7,0.0333333,"1/30 Acre",3,999,"Coco3","PIPO","update","update",79.6419415,4.37754085735188,3.54,1.96,-0.07,2.57,3.22,2.04,-0.03,0.05,0.22,-0.01,0.02,7.84,2.1,3.42,4.23,6.82,10.7,13.94,32.52,36.06,16.95,22.22,254.9568,174.2048,68.292,137.5596,221.7864,347.964,453.3288,2.05923883436232,0.741937344729377,1.44220199305819,1.91985947185537,2.37024374146786,2.63476240533238,66.9664468934625,45.7562868995307,24.1278024505994,46.9004088142522,62.4338300247367,77.0803264725348,85.6824734214089,"PPF",2187.7063,267,5,0.03604543,"Ponderosa pine","G","G. Ponderosa pine"
165,"0304070005950019_0001",-1381039.074,-201305.762,"fourFri, P1","Coconino",124.2792374,50.2940674664564,1257.35168666141,113600,7500,12.7,0.05,"1/20 Acre",4,999,"Coco4","PIPO","update","update",268.0842145,5.5913011643589,6.57,2.23,-0.09,5.35,5.99,3.76,-0.11,0.21,0.24,-0.03,0.05,20.83,2.43,4.11,6.52,11.64,17.89,23.29,61.69,89.37,31.67,24.19,1285.0027,503.8777,149.9067,402.2188,718.0716,1103.6341,1436.7601,3.03639425527288,0.887891257352457,1.87487437593856,2.45444744230329,2.88424189752063,3.14802408389625,187.315161607784,73.450377035051,54.7740116660731,115.66100025165,151.41486271569,177.928882658048,194.20160573556,"PPF",2119.5503,3,6,0.036334206,"Ponderosa pine","G","G. Ponderosa pine"
166,"0304070005950019_0002",-1380861.417,-201336.1692,"fourFri, P1","Coconino",124.2792374,50.2940674664564,1257.35168666141,113600,7500,12.7,0.05,"1/20 Acre",4,999,"Coco4","PIPO","update","update",153.402784,5.0330670373995,4.16,2.55,-0.65,2.37,2.52,2.32,-0.39,0.22,0.19,-0.16,0.09,15.01,2.46,3.95,5.21,10.65,13.99,16.57,56.04,65.25,34.65,17.48,841.1604,262.3748,137.8584,291.9684,596.826,783.9996,928.5828,2.70871664564537,0.900161349944271,1.65057985576528,2.36555989215543,2.63834278867739,2.80759383143847,151.796480821967,47.3483669658811,50.445042050877,92.498495117086,132.565976356391,147.852729877481,157.337558313812,"PPF",2141.3252,329,4,0.051359131,"Ponderosa pine","G","G. Ponderosa pine"
177,"0304070006040001_0003",-1385303.887,-201361.4596,"fourFri, P1","Coconino",171.7031999,69.4858811547314,1737.14702886828,113600,7500,12.7,0.1,"1/10 Acre",5,999,"Coco5","PIPO","update","update",22.535976,3.11511296561078,1.97,3.47,1.01,1.16,1.11,1.07,0.24,0.13,0.21,0.22,0.12,4.35,2.24,2.67,3.01,3.77,5.08,8.08,17.67,18.08,7.96,11.13,76.8645,48.4155,39.5808,53.1867,66.6159,89.7636,142.7736,1.47017584510059,0.806475865866949,1.10194007876078,1.32707500145992,1.62531126159039,2.089391872533,25.9780071829275,16.3630571559696,14.250428549869,19.4712811917031,23.4494152757968,28.7192499923022,36.9195543876582,"PPF",2108.7664,124,1,0.040037443,"Ponderosa pine","G","G. Ponderosa pine"
182,"0304070006040001_0008",-1384830.987,-201025.1262,"fourFri, P1","Coconino",171.7031999,69.4858811547314,1737.14702886828,113600,7500,12.7,0.1,"1/10 Acre",5,999,"Coco5","PIPO","update","update",145.050635,4.97708288835859,5.58,2.22,-0.29,4.05,4.29,3.19,-0.23,0.22,0.21,-0.07,0.06,14.46,2.99,4.5,6.28,12.14,16.46,22.04,31.48,34.78,17.32,19.9,455.2008,287.754,94.1252,197.6944,382.1672,518.1608,693.8192,2.67138621673062,1.0952733874026,1.83736998048011,2.49650578563135,2.80093319524892,3.09285898428471,84.0952381026799,53.1605857129393,34.4792062354337,57.8404069855138,78.590002131675,88.1733769864361,97.3632008252828,"PPF",2110.167,0,0,0.027999216,"Ponderosa pine","G","G. Ponderosa pine"
183,"0304070006040001_0009",-1384607.282,-201027.9336,"fourFri, P1","Coconino",171.7031999,69.4858811547314,1737.14702886828,113600,7500,12.7,0.1,"1/10 Acre",5,999,"Coco5","NVG","update","update",6.4494405,1.86399338285914,4.68,3.47,1.14,2.35,2.4,2.49,0.69,0.33,0.32,0.27,0.13,6.48,2.09,2.4,2.91,4.64,6.92,14.77,12.97,13.58,4.95,7.46,84.0456,48.3408,27.1073,37.7427,60.1808,89.7524,191.5669,1.86872051036418,0.73716406597672,1.0681530811834,1.53471436623816,1.93441576962958,2.69259809654329,24.2373050194235,13.9406550073168,9.56101793571805,13.8539454629487,19.905245330109,25.0893725320956,34.9229973121665,"PPF",2107.3618,27,3,0.035885969,"Ponderosa pine","G","G. Ponderosa pine"
186,"0304070006040001_0012",-1385059.507,-201194.4278,"fourFri, P1","Coconino",171.7031999,69.4858811547314,1737.14702886828,113600,7500,12.7,0.1,"1/10 Acre",5,999,"Coco5","PIPO","update","update",41.1924035,3.71825385828724,2.02,3.01,0.56,1.53,1.45,1.14,0.11,0.07,0.21,0.1,0.06,3.95,2.21,2.51,2.76,3.98,5.8,7.98,30.28,32.86,16.13,26.71,119.606,105.5045,66.9188,83.5728,120.5144,175.624,241.6344,1.37371557891303,0.792992515529661,1.01523067972906,1.38128181929635,1.75785791755237,2.07693841146172,41.5961077294866,36.691943112767,24.0118133702381,30.7411849821959,41.8252134882934,53.2279377434859,62.8896950990608,"PPF",2109.8672,213,0,0.039283064,"Ponderosa pine","G","G. Ponderosa pine"
189,"0304070006040003_0003",-1385561.747,-201692.4029,"fourFri, P1","Coconino",168.4446939,68.1672093956154,1704.18023489039,113600,7500,12.7,0.1,"1/10 Acre",6,999,"Coco6","PIPO","update","update",84.608752,4.43803771279808,3.01,2.21,-0.05,2.25,2.25,1.73,-0.02,0.11,0.2,-0.01,0.06,8.68,2.3,3.44,4.4,6.71,9.41,12.59,35.98,41.06,18.92,20.71,312.3064,179.7628,82.754,158.312,241.4258,338.5718,452.9882,2.16102152867226,0.832909122935104,1.48160454092422,1.90359895098359,2.24177295359729,2.53290284805626,77.7535546016279,44.7547558588025,29.968070243205,53.3081313824533,68.4914902563896,80.6589908704304,91.1338444730641,"PPF",2099.3276,157,2,0.041292272,"Ponderosa pine","G","G. Ponderosa pine"
196,"0304070006040003_0010",-1385578.421,-200806.6258,"fourFri, P1","Coconino",168.4446939,68.1672093956154,1704.18023489039,113600,7500,12.7,0.1,"1/10 Acre",6,999,"Coco6","PIPO","update","update",138.87301,4.93355991842418,4.07,5.83,1.56,2.18,2.59,2.09,0.52,0.42,0.27,0.24,0.2,4.39,2.23,2.93,3.62,5.37,7.68,12.19,36.18,41.49,15.34,35.54,158.8302,156.0206,80.6814,130.9716,194.2866,277.8624,441.0342,1.47932922708708,0.802001585472027,1.28647402583768,1.68082790852077,2.03861954715958,2.50061594349318,53.5221314360106,52.5753607306748,29.016417362378,46.5446302548073,60.8123537302816,73.7572552162336,90.4722848355833,"PPF",2110.7783,226,1,0.050808093,"Ponderosa pine","G","G. Ponderosa pine"
198,"0304070006050008_0002",-1382661.299,-202052.5476,"fourFri, P1","Coconino",70.29506069,28.4474269303933,711.185673259833,113600,7500,12.7,0.0666667,"1/15 Acre",7,999,"Coco7","JUDE2_PIPO","update","update",34.2734635,3.53437139585128,1.66,2.47,0.48,1.27,1.17,0.94,0.1,0.05,0.2,0.11,0.06,3.62,2.13,2.31,2.48,3.46,4.85,6.85,20.92,21.48,12.37,18.36,75.7304,66.4632,44.5596,51.8816,72.3832,101.462,143.302,1.28647402583768,0.756121979721334,0.908258560176891,1.24126858906963,1.57897870494939,1.92424865227413,26.9130366205243,23.6196631143798,15.8180718157703,19.0007690789006,25.9673388833367,33.0322345075413,40.2552818055749,"PPF",2153.603,359,2,0.052911982,"Ponderosa pine","G","G. Ponderosa pine"
