"ID","STBIOMSha","logSTBIOMSha","TCUmha","Elev_stddev","Elev_kurtosis","Elev_skewness","Elev_MAD_median","Elev_MAD_mode","Elev_L2","Elev_L3","Elev_L4","Elev_LCV","Elev_Lskewness","Elev_Lkurtosis","Elev_mode","Elev_P01","Elev_P05","Elev_P10","Elev_P30","Elev_P60","Elev_P90","Pct_all_returns_above_ht","all_returns_above_ht_div_Total_first_returns_x_100","pct_all_returns_above_mean","All_returns_above_mode_div_Total_first_returns_x_100","mode_pctAllOver3m","mode_pctAlloverModeDiv1st","P01_pctAllOver3m","P10_pctAllOver3m","P30_pctAllOver3m","P60_pctAllOver3m","P90_pctAllOver3m","logmode","logP01","logP10","logP30","logP60","logP90","log_Pct_all_returns_above_ht","log_pct_all_returns_above_mean","log_all_returns_above_ht_div_Total_first_returns_x_100","logmode_pctAllOver3m","logmode_pctAlloverModeDiv1st","logP01_pctAllOver3m","logP10_pctAllOver3m","logP30_pctAllOver3m","logP60_pctAllOver3m","logP90_pctAllOver3m","elevation","aspect","slope","NDVI_Amp","R3ERUlabel","R3ERUcodeFull","R3ERUlabelName","Site","Forest","PlotSizeAcres","fpc","Stratum","lnBMAEstimates","lnBMAResidual","lnBMASqResidual","BMAEstimates","BMAResidual","BMASqResidual","MPMEstimates","MPMResidual","MPMSqResidual","lnMPMEstimates","lnMPMResidual","lnMPMSqResidual","MPMlnlnEstimates","MPMlnlnResidual","MPMlnlnSqResidual","lnStepEstimates","lnStepResidual","lnStepSqResidual","StepEstimates","StepResidual","StepSqResidual","MPMOLDEstimates","MPMOLDResidual","MPMOLDSqResidual"
164,79.6419415,4.37754085735188,85.740470364024,3.54,1.96,-0.07,2.57,3.22,2.04,-0.03,0.05,0.22,-0.01,0.02,7.84,2.1,3.42,4.23,6.82,10.7,13.94,32.52,36.06,16.95,22.22,254.9568,174.2048,68.292,137.5596,221.7864,347.964,453.3288,2.05923883436232,0.741937344729377,1.44220199305819,1.91985947185537,2.37024374146786,2.63476240533238,3.48185528467961,2.83026783382646,3.58518421777517,7.16997161784191,6.38568476632561,2.58331846464714,5.02153863110511,6.68467284792183,8.25284569720864,9.1738614048817,2187.7063,267,5,0.03604543,"G","Ponderosa pine","G. Ponderosa pine","fourFri, P1","Coconino",0.0333333,102.5904468,"Coco3",58.875151320748,20.766790179252,431.259574349077,65.9808578397904,13.6610836602096,186.625206771245,66.519240762147,13.122700737853,172.205274655247,58.2579508694547,13.8758079428333,192.538046066396,61.6488858646629,17.9930556353371,323.750051096335,59.8795628435382,19.7623786564618,390.551610161378,65.7126792568335,13.9292622431665,194.024346638905,65.7661335571667,13.8758079428333,192.538046066396
165,268.0842145,5.5913011643589,428.50992819136,6.57,2.23,-0.09,5.35,5.99,3.76,-0.11,0.21,0.24,-0.03,0.05,20.83,2.43,4.11,6.52,11.64,17.89,23.29,61.69,89.37,31.67,24.19,1285.0027,503.8777,149.9067,402.2188,718.0716,1103.6341,1436.7601,3.03639425527288,0.887891257352457,1.87487437593856,2.45444744230329,2.88424189752063,3.14802408389625,4.12212184322155,3.45536986055055,4.4927850553933,12.5163870842928,9.67376786293001,3.65999594633801,7.72846061835271,10.1175314149577,11.8891965269045,12.9765388392162,2119.5503,3,6,0.036334206,"G","Ponderosa pine","G. Ponderosa pine","fourFri, P1","Coconino",0.05,124.2792374,"Coco4",226.574297251455,41.509917248545,1723.07322998105,227.903802431912,40.1804120680879,1614.46551396135,222.076103415573,46.0081110844272,2116.74628555699,230.906692835309,39.534757919011,1562.99708371482,229.043456396026,39.0407581039736,1524.18079333298,216.203483416542,51.8807310834579,2691.61025775408,228.238741093591,39.8454734064085,1587.6617509808,228.549456580989,39.5347579190111,1562.99708371481
166,153.402784,5.0330670373995,203.351191706709,4.16,2.55,-0.65,2.37,2.52,2.32,-0.39,0.22,0.19,-0.16,0.09,15.01,2.46,3.95,5.21,10.65,13.99,16.57,56.04,65.25,34.65,17.48,841.1604,262.3748,137.8584,291.9684,596.826,783.9996,928.5828,2.70871664564537,0.900161349944271,1.65057985576528,2.36555989215543,2.63834278867739,2.80759383143847,4.02606572146881,3.54529772563591,4.1782260462028,10.9054712362048,7.7497937228813,3.62410875480172,6.6453429778435,9.52389959388844,10.6221414629785,11.3035572845617,2141.3252,329,4,0.051359131,"G","Ponderosa pine","G. Ponderosa pine","fourFri, P1","Coconino",0.05,124.2792374,"Coco4",152.608485299385,0.794298700615315,0.630910425799177,152.491765186447,0.911018813552744,0.829955278647049,155.975644223724,-2.57286022372352,6.61960973081866,150.19880722986,0.581921693083984,0.338632856881499,153.946604344926,-0.543820344926075,0.295740567555516,157.125384260452,-3.7226002604516,13.8577526991143,153.961786029886,-0.559002029886358,0.312483269417068,152.820862306916,0.581921693083814,0.338632856881532
177,22.535976,3.11511296561078,25.1900023104,1.97,3.47,1.01,1.16,1.11,1.07,0.24,0.13,0.21,0.22,0.12,4.35,2.24,2.67,3.01,3.77,5.08,8.08,17.67,18.08,7.96,11.13,76.8645,48.4155,39.5808,53.1867,66.6159,89.7636,142.7736,1.47017584510059,0.806475865866949,1.10194007876078,1.32707500145992,1.62531126159039,2.089391872533,2.87186828633161,2.07442899985629,2.89480635496403,4.22215138487516,3.54260064709319,2.31609246287511,3.16462676563085,3.81118461027621,4.66767986757905,6.00045825644654,2108.7664,124,1,0.040037443,"G","Ponderosa pine","G. Ponderosa pine","fourFri, P1","Coconino",0.1,171.7031999,"Coco5",27.672671385379,-5.13669538537903,26.3856394821743,34.2192158096553,-11.6832398096553,136.498092449915,31.8141785176176,-9.27820251761763,86.0850419579262,27.7870991060939,-11.7572071503388,138.231919975978,27.3691558703112,-4.83317987031124,23.3596276587818,27.0655866423682,-4.52961064236819,20.5173725714552,33.2194434451843,-10.6834674451843,114.136476652313,34.2931831503388,-11.7572071503388,138.231919975978
182,145.050635,4.97708288835859,208.65718580448,5.58,2.22,-0.29,4.05,4.29,3.19,-0.23,0.22,0.21,-0.07,0.06,14.46,2.99,4.5,6.28,12.14,16.46,22.04,31.48,34.78,17.32,19.9,455.2008,287.754,94.1252,197.6944,382.1672,518.1608,693.8192,2.67138621673062,1.0952733874026,1.83736998048011,2.49650578563135,2.80093319524892,3.09285898428471,3.4493524235492,2.85186190313429,3.54904250892614,9.2145525209157,7.98936746944901,3.77798391328609,6.33773659512561,8.61132828207211,9.66140570523129,10.6683606331384,2110.167,0,0,0.027999216,"G","Ponderosa pine","G. Ponderosa pine","fourFri, P1","Coconino",0.1,171.7031999,"Coco5",86.7258159806195,58.3248190193805,3401.78451364349,92.5872746476208,52.4633603523792,2752.40417946359,93.2405525553956,51.8100824446044,2684.2846429167,88.6842481762105,52.7148568440114,2778.85613208462,85.3347827355109,59.7158522644891,3565.98301167429,84.7890344866836,60.2616005133164,3631.46049642654,95.736527823094,49.314107176906,2431.88116665537,92.3357781559885,52.7148568440115,2778.85613208462
183,6.4494405,1.86399338285914,6.50741726352,4.68,3.47,1.14,2.35,2.4,2.49,0.69,0.33,0.32,0.27,0.13,6.48,2.09,2.4,2.91,4.64,6.92,14.77,12.97,13.58,4.95,7.46,84.0456,48.3408,27.1073,37.7427,60.1808,89.7524,191.5669,1.86872051036418,0.73716406597672,1.0681530811834,1.53471436623816,1.93441576962958,2.69259809654329,2.56263899832835,1.5993875765806,2.60859812213055,4.78885605683532,3.75529741925821,1.88908538363824,2.73729074202517,3.9329188862167,4.95720929023411,6.90015688902652,2107.3618,27,3,0.035885969,"G","Ponderosa pine","G. Ponderosa pine","fourFri, P1","Coconino",0.1,171.7031999,"Coco5",28.5695081571734,-22.1200676571734,489.297393157928,28.7185618704545,-22.2691213704545,495.913766612032,26.7343257580174,-20.2848852580174,411.476569930933,29.0025345557254,-23.0619107979926,531.851729654568,29.6049050220436,-23.1554645220436,536.175537231619,28.6110183694925,-22.1615778694925,491.13553366558,31.7383452306786,-25.2889047306786,639.528702477338,29.5113512979926,-23.0619107979926,531.851729654568
186,41.1924035,3.71825385828724,39.95414255344,2.02,3.01,0.56,1.53,1.45,1.14,0.11,0.07,0.21,0.1,0.06,3.95,2.21,2.51,2.76,3.98,5.8,7.98,30.28,32.86,16.13,26.71,119.606,105.5045,66.9188,83.5728,120.5144,175.624,241.6344,1.37371557891303,0.792992515529661,1.01523067972906,1.38128181929635,1.75785791755237,2.07693841146172,3.41048742856925,2.78068089213712,3.49225611260912,4.68503971231262,4.51270791517904,2.70449100516341,3.46243147031377,4.71084428002145,5.99515232902329,7.08337234220277,2109.8672,213,0,0.039283064,"G","Ponderosa pine","G. Ponderosa pine","fourFri, P1","Coconino",0.1,171.7031999,"Coco5",46.5646443603539,-5.37224086035388,28.8609718616558,55.631360195978,-14.438956695978,208.483470468328,57.1087673658374,-15.9163638658374,253.330638709735,46.6129883193315,-14.4764826042719,209.56854859179,43.4421092933343,-2.2497057933343,5.06117615656191,46.8331194082143,-5.6407159082143,31.8176759571818,56.7886234532733,-15.5962199532733,243.242076830882,55.6688861042719,-14.4764826042719,209.568548591788
189,84.608752,4.43803771279808,109.57651005024,3.01,2.21,-0.05,2.25,2.25,1.73,-0.02,0.11,0.2,-0.01,0.06,8.68,2.3,3.44,4.4,6.71,9.41,12.59,35.98,41.06,18.92,20.71,312.3064,179.7628,82.754,158.312,241.4258,338.5718,452.9882,2.16102152867226,0.832909122935104,1.48160454092422,1.90359895098359,2.24177295359729,2.53290284805626,3.58296322852239,2.94021956362373,3.71503441159079,7.74286067327794,6.54922788070874,2.98428276017731,5.30853458934326,6.82052504322799,8.03219005943511,9.07529776600519,2099.3276,157,2,0.041292272,"G","Ponderosa pine","G. Ponderosa pine","fourFri, P1","Coconino",0.1,168.4446939,"Coco6",66.0406831396502,18.5680688603498,344.773181202691,73.5929159675636,11.0158360324364,121.348643493525,74.3989817136865,10.2097702863135,104.23940929929,66.1751614036442,11.0499367687066,122.101102592414,68.3689215839162,16.2398304160838,263.732091943159,65.3129156339556,19.2958363660444,372.329301065163,74.8037517039143,9.80500029608571,96.1380308062408,73.5588152312934,11.0499367687066,122.101102592414
196,138.87301,4.93355991842418,198.3712681944,4.07,5.83,1.56,2.18,2.59,2.09,0.52,0.42,0.27,0.24,0.2,4.39,2.23,2.93,3.62,5.37,7.68,12.19,36.18,41.49,15.34,35.54,158.8302,156.0206,80.6814,130.9716,194.2866,277.8624,441.0342,1.47932922708708,0.802001585472027,1.28647402583768,1.68082790852077,2.03861954715958,2.50061594349318,3.58850647996715,2.73046379593911,3.72545243434478,5.30858251740678,5.28217995641566,2.8779878864103,4.61652037802794,6.03166184143643,7.31559945516985,8.97347651713444,2110.7783,226,1,0.050808093,"G","Ponderosa pine","G. Ponderosa pine","fourFri, P1","Coconino",0.1,168.4446939,"Coco6",63.2961708436763,75.5768391563237,5711.85861686083,71.0658366875026,67.8071733124974,4597.81275263106,73.9369202232066,64.9360897767934,4216.69575549977,64.1056150518374,66.5606125314812,4430.31514056597,63.5466780023118,75.3263319976882,5674.05629222595,61.7503112534775,77.1226987465225,5947.91066194686,70.8117445707466,68.0612654292534,4632.33585183129,72.3123974685187,66.5606125314813,4430.31514056598
198,34.2734635,3.53437139585128,41.007224594472,1.66,2.47,0.48,1.27,1.17,0.94,0.1,0.05,0.2,0.11,0.06,3.62,2.13,2.31,2.48,3.46,4.85,6.85,20.92,21.48,12.37,18.36,75.7304,66.4632,44.5596,51.8816,72.3832,101.462,143.302,1.28647402583768,0.756121979721334,0.908258560176891,1.24126858906963,1.57897870494939,1.92424865227413,3.04070563919672,2.5152741864044,3.06712226964066,3.91178882504474,3.74386375720809,2.29914436765925,2.76174692577857,3.77433239854179,4.80120945231115,5.85107372818665,2153.603,359,2,0.052911982,"G","Ponderosa pine","G. Ponderosa pine","fourFri, P1","Coconino",0.0666667,70.29506069,"Coco7",30.6796956101094,3.59376788989056,12.9151676464085,41.5373099969454,-7.26384649694545,52.7634659311867,40.2016035386254,-5.92814003862538,35.1428443175533,30.3688309936603,-6.8035650062611,46.2884967944213,28.940853976514,5.33260952348601,28.4367243299737,30.824380064081,3.44908343591901,11.8961765479309,42.1067517170697,-7.83328821706966,61.3604042916824,41.0770285062612,-6.80356500626116,46.2884967944214
