"site","valOrMod","n","div","rmsesmp","div","Pctrmsesmp","div","biassmp","div","Pctbiassmp","rowEnd"
"Model Construction Data","&Validation&",793,"&",41.15,"&",35.231,"&",-2.256,"&",-0.01931,"\\"
"\multirow{2}{*}{Kaibab Plateau, AZ}","&Validation&",25,"&",43.7,"&",32.85,"&",6.696,"&",5.034,"\\"
"","&Model&",87,"&",55.19,"&",41.43,"&",-1.013,"&",-0.7604,"\\"
"\multirow{2}{*}{Coconino NF, 4FRI, AZ}","&Validation&",448,"&",41.74,"&",33.7,"&",-0.2331,"&",-0.1882,"\\"
"","&Model&",1218,"&",43.84,"&",33.99,"&",-0.5147,"&",-0.3991,"\\"
"\multirow{2}{*}{Tonto NF, 4FRI, AZ}","&Validation&",272,"&",41.73,"&",39.31,"&",-5.202,"&",-4.9,"\\"
"","&Model&",847,"&",47.43,"&",42.42,"&",2.061,"&",1.843,"\\"
"\multirow{2}{*}{Apache-Sitgreaves NF, 4FRI, AZ, Phase 1}","&Validation&",27,"&",28.38,"&",29.05,"&",-4.203,"&",-4.303,"\\"
"","&Model&",73,"&",28.2,"&",26.17,"&",0.1613,"&",0.1497,"\\"
"\multirow{2}{*}{Southwest Jemez Mountains, NM}","&Validation&",21,"&",30.36,"&",27.7,"&",-15.41,"&",-14.06,"\\"
"","&Model&",46,"&",43.82,"&",31.21,"&",-22.66,"&",-16.14,"\\"
"Transferability Validation Data","&&",NA,"&",0,"&",0,"&",0,"&",0,"\\"
"Apache-Sitgreaves NF, 4FRI, AZ, Phase 2","&Validation&",96,"&",23.25,"&",31.18,"&",-3.497,"&",-4.69,"\\"
"Apache-Sitgreaves NF, 4FRI, AZ, Phase 3","&Validation&",150,"&",32.82,"&",32.66,"&",-10.94,"&",-10.89,"\\"
